"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"21 EAB3SB - EQUIPE DE ATENCAO BASICA TIPO III COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"27 ESF2      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"30 ESF3      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO III";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"39 ESFRSB_MII - ESF RIBEIRINHA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"49 EAP";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"Total"
"32 Esp�rito Santo";284;445;2;97;13;14;12;4;-;9;-;-;-;-;-;-;-;-;7;-;-;-;-;1;1;-;-;-;-;1;-;-;3;4;-;-;1;2;-;-;-;1;-;-;-;1;-;-;-;-;902
"33 Rio de Janeiro";1223;937;213;117;27;159;9;1;-;9;3;-;-;-;-;31;-;-;6;-;-;55;34;-;4;-;-;-;-;114;29;28;30;11;6;-;2;6;10;-;-;-;4;-;-;1;-;-;-;-;3069
"35 S�o Paulo";2845;1922;221;406;55;247;42;4;-;24;6;-;-;-;-;130;21;-;98;4;1;166;74;12;14;4;3;2;-;106;32;14;86;31;7;-;6;10;24;4;-;85;6;-;-;3;-;13;1;4;6733
"41 Paran�";954;975;376;167;2;127;65;-;-;13;-;-;-;-;-;6;2;-;43;8;-;22;10;7;2;2;-;-;-;14;5;1;15;6;4;-;2;7;1;4;1;77;-;-;-;2;1;-;1;2;2924
"42 Santa Catarina";686;950;59;56;1;100;56;1;-;3;-;-;-;-;-;2;-;-;5;1;-;10;6;2;-;-;-;-;-;2;1;-;13;4;-;-;2;1;-;-;-;111;3;-;-;5;2;1;2;5;2090
"43 Rio Grande do Sul";966;922;57;148;1;48;21;6;-;2;4;-;-;-;-;6;17;3;16;5;-;29;10;1;7;-;-;-;-;13;8;-;21;6;-;-;1;4;1;24;-;73;2;-;2;7;2;21;3;4;2461
"50 Mato Grosso do Sul";32;494;17;84;5;32;18;18;-;5;-;-;-;-;-;-;-;-;1;-;-;4;5;-;-;-;-;-;-;-;4;-;-;5;-;-;-;2;1;1;-;12;2;-;-;17;7;7;4;-;777
"51 Mato Grosso";178;423;58;77;7;16;23;-;16;1;-;-;-;-;-;-;-;-;1;-;-;2;2;-;-;-;-;-;-;5;-;-;-;-;-;-;-;1;1;-;-;27;1;-;-;-;-;-;-;-;839
"52 Goi�s";364;903;98;29;5;74;37;1;-;-;-;-;-;-;-;1;-;-;-;-;-;26;24;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;3;-;-;88;6;-;-;18;4;1;1;-;1685
"53 Distrito Federal";184;80;-;22;1;10;-;-;-;7;-;-;-;-;-;5;3;-;-;-;-;14;9;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;6;-;6;350
"Total";15053;23338;2264;2710;183;2674;893;112;82;311;21;44;54;3;8;200;50;3;221;20;1;557;364;29;67;8;3;2;1;262;88;45;187;85;18;2;29;65;56;34;1;1031;83;2;11;112;27;82;30;46;51572
