"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"21 EAB3SB - EQUIPE DE ATENCAO BASICA TIPO III COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"27 ESF2      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"30 ESF3      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO III";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"39 ESFRSB_MII - ESF RIBEIRINHA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"49 EAP";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"Total"
"32 Esp�rito Santo";286;444;2;77;13;14;10;4;-;7;-;-;-;-;-;-;-;-;7;-;-;-;-;1;1;-;-;-;-;1;-;-;1;4;-;-;1;2;-;-;-;1;-;-;-;-;-;-;-;-;876
"33 Rio de Janeiro";1179;905;219;108;30;143;9;1;-;2;3;-;-;-;-;35;3;-;7;-;4;46;35;-;4;-;-;-;-;129;28;23;17;2;3;-;2;6;10;-;-;-;4;-;-;1;-;-;-;-;2958
"35 S�o Paulo";2821;1911;219;444;54;261;39;4;-;35;8;-;-;-;-;124;19;1;100;4;1;159;72;8;14;1;3;2;-;87;30;9;95;27;10;-;6;9;23;4;-;84;7;-;-;3;-;13;1;3;6715
"41 Paran�";964;978;379;157;2;125;62;-;-;8;-;-;-;-;-;6;2;-;42;9;-;22;10;4;1;3;-;-;-;16;6;1;14;6;3;-;1;7;1;4;1;76;-;-;-;2;1;-;-;2;2915
"42 Santa Catarina";680;957;60;58;1;101;56;-;-;2;-;-;-;-;-;3;-;-;4;1;-;12;6;2;-;-;-;-;-;2;-;-;12;5;-;-;2;1;-;-;-;113;3;-;-;6;2;2;2;5;2098
"43 Rio Grande do Sul";972;906;55;144;-;47;22;6;-;3;3;-;-;-;-;7;22;5;16;7;-;26;8;2;7;-;-;-;-;13;7;-;12;5;-;-;1;4;1;28;3;73;3;-;-;7;2;18;3;4;2442
"50 Mato Grosso do Sul";28;504;17;85;5;33;19;18;-;3;-;-;-;-;-;-;-;-;1;-;-;4;5;-;-;-;-;-;-;-;5;-;-;4;-;-;-;2;1;1;-;12;2;-;-;20;6;7;4;-;786
"51 Mato Grosso";189;416;60;78;7;15;23;-;8;1;-;-;-;-;-;-;-;-;1;-;-;2;2;1;-;-;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;27;1;-;-;-;-;-;-;-;834
"52 Goi�s";364;902;98;28;6;74;37;1;-;-;-;-;-;-;-;1;-;-;-;-;-;25;25;-;1;2;-;-;-;-;-;1;-;1;-;-;-;-;3;-;-;88;6;-;-;17;5;1;-;-;1686
"53 Distrito Federal";186;83;-;19;1;10;-;-;-;5;-;-;-;-;-;4;3;-;-;-;-;14;9;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;6;-;6;349
"Total";15078;23412;2279;2615;187;2666;882;102;68;209;15;46;54;3;7;195;53;6;223;23;5;539;360;20;44;8;3;2;1;256;87;35;169;78;19;2;26;64;54;37;4;1032;82;2;9;108;29;81;28;45;51352
