"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"21 EAB3SB - EQUIPE DE ATENCAO BASICA TIPO III COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"27 ESF2      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"30 ESF3      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO III";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"39 ESFRSB_MII - ESF RIBEIRINHA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"49 EAP";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"Total"
"32 Esp�rito Santo";286;448;2;91;13;15;12;4;-;8;-;-;-;-;-;-;-;-;7;-;-;-;-;1;1;-;-;-;-;1;-;-;3;4;-;-;1;2;-;-;-;1;-;-;-;1;-;-;-;-;901
"33 Rio de Janeiro";1215;942;213;111;27;155;9;1;-;9;1;-;-;-;-;33;3;-;6;-;4;56;35;-;4;-;-;-;-;122;25;29;25;12;5;-;2;6;10;-;-;-;4;-;-;1;-;-;-;-;3065
"35 S�o Paulo";2838;1927;229;408;55;254;43;4;-;28;5;-;-;-;-;129;21;-;100;4;1;163;72;8;13;1;4;2;-;99;30;13;82;31;8;-;6;10;25;4;-;85;7;-;-;3;-;13;1;4;6730
"41 Paran�";956;985;373;163;2;126;63;-;-;10;-;-;-;-;-;6;2;-;42;9;-;22;10;6;1;2;-;-;-;14;6;1;15;5;3;-;1;7;1;4;1;77;-;-;-;2;1;-;1;2;2919
"42 Santa Catarina";686;953;60;57;1;102;55;1;-;2;-;-;-;-;-;2;-;-;5;1;-;11;7;2;-;-;-;-;-;2;1;-;13;5;-;-;2;1;-;-;-;112;3;-;-;6;2;2;2;5;2101
"43 Rio Grande do Sul";977;916;55;146;1;47;21;6;-;3;6;-;-;-;-;5;17;3;17;6;-;29;10;1;7;-;-;-;-;13;7;-;15;6;-;-;1;4;1;24;-;75;2;-;2;7;2;21;3;4;2460
"50 Mato Grosso do Sul";31;497;17;85;5;31;18;19;-;3;-;-;-;-;-;-;-;-;1;-;-;4;5;-;-;-;-;-;-;-;4;-;-;6;-;-;-;2;1;1;-;12;2;-;-;18;7;7;4;-;780
"51 Mato Grosso";183;419;57;78;7;15;23;-;12;1;-;-;-;-;-;-;-;-;1;-;-;2;2;-;-;-;-;-;-;5;-;-;-;-;-;-;-;1;1;-;-;27;1;-;-;-;-;-;-;-;835
"52 Goi�s";367;907;99;28;5;74;37;1;-;-;-;-;-;-;-;1;-;-;-;-;-;26;24;-;1;-;-;-;-;-;-;1;-;1;-;-;-;-;2;-;-;88;6;-;-;18;4;1;1;-;1692
"53 Distrito Federal";177;82;-;18;1;11;-;-;-;7;-;-;-;-;-;4;3;-;-;-;-;14;9;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;6;-;6;341
"Total";15057;23447;2281;2656;183;2677;889;112;78;284;17;45;54;3;7;198;54;3;223;22;5;557;363;20;53;5;4;2;1;263;82;45;170;89;18;2;26;66;56;34;1;1037;83;2;11;113;27;83;30;46;51584
