"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"21 EAB3SB - EQUIPE DE ATENCAO BASICA TIPO III COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"27 ESF2      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"30 ESF3      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO III";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"39 ESFRSB_MII - ESF RIBEIRINHA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"49 EAP";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"Total"
"32 Esp�rito Santo";282;446;2;100;11;18;12;4;-;9;-;-;-;-;-;-;-;-;7;-;-;-;-;1;1;-;-;-;-;1;-;-;1;2;-;-;1;2;-;-;-;1;-;-;-;1;-;-;-;-;902
"33 Rio de Janeiro";1228;953;216;117;30;161;10;1;-;6;1;-;-;-;-;30;-;-;6;-;-;56;35;-;4;-;-;-;-;130;34;33;30;5;2;-;2;6;11;-;-;-;4;-;-;1;-;-;-;-;3112
"35 S�o Paulo";2882;1950;216;411;54;246;43;4;-;23;7;-;-;-;-;129;21;-;98;4;1;167;74;12;16;3;2;2;-;112;41;13;82;28;10;-;7;11;23;4;-;88;6;-;-;7;-;13;1;4;6815
"41 Paran�";953;986;370;168;2;126;66;-;-;11;-;-;-;-;-;7;2;-;42;8;-;21;10;5;2;3;-;-;-;15;6;2;17;6;5;-;3;7;1;4;1;78;-;-;-;2;1;-;1;2;2933
"42 Santa Catarina";695;962;58;55;1;105;56;1;-;3;-;-;-;-;-;2;-;-;5;1;-;10;6;2;-;-;-;-;-;3;1;-;9;2;-;-;2;1;-;-;-;114;3;-;-;7;2;1;2;4;2113
"43 Rio Grande do Sul";985;916;59;148;1;50;20;7;-;6;3;-;-;-;-;5;15;3;13;5;-;29;10;2;8;-;-;-;-;7;8;-;34;8;1;-;1;4;1;22;-;74;2;-;2;7;2;20;3;4;2485
"50 Mato Grosso do Sul";31;501;16;80;5;31;17;19;-;2;-;-;-;-;-;-;-;-;1;-;-;4;5;-;-;-;-;-;-;-;4;-;-;4;-;-;-;2;1;2;-;12;2;-;-;19;8;6;4;-;776
"51 Mato Grosso";187;428;56;77;6;16;22;-;12;1;-;-;-;-;-;-;-;-;-;-;-;2;2;-;-;-;-;-;-;5;-;-;-;-;-;-;-;1;1;-;-;27;1;-;-;-;-;-;-;-;844
"52 Goi�s";366;909;98;29;5;75;37;1;-;-;-;-;-;-;-;1;-;-;-;-;-;27;25;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;3;-;-;90;6;-;-;18;4;1;1;-;1698
"53 Distrito Federal";191;82;-;14;-;9;-;-;-;4;-;-;-;-;-;4;3;-;1;-;-;14;9;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;5;-;5;344
"Total";15123;23571;2252;2675;182;2691;891;111;85;251;15;44;54;3;8;197;47;3;217;20;1;558;363;30;67;8;2;2;1;279;103;49;199;73;20;2;31;66;56;34;1;1048;82;3;11;119;31;77;28;45;51829
