"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"70 ESF - EQUIPE DE SAUDE DA FAMILIA";"71 ESB - EQUIPE DE SAUDE BUCAL";"72 ENASF-AB - EQ NUCLEO AMPLIADO SAUDE DA FAMILIA AT. PRIMARIA";"73 ECR - EQUIPE DOS CONSULTORIOS NA RUA";"74 EABP - EQUIPE DE ATENCAO PRIMARIA PRISIONAL";"75 EMAESM - EQ  MULTIPROF  ATENCAO ESPECIALIZADA SAUDE MENTAL";"76 EAP - EQUIPE DE ATENCAO PRIMARIA";"Total"
"32 Esp�rito Santo";10;9;-;10;-;2;2;5;-;-;-;-;-;-;-;-;4;4;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;938;673;33;6;25;15;186;1924
"33 Rio de Janeiro";67;11;7;38;1;2;2;2;1;1;-;-;7;-;-;3;78;49;-;-;12;2;1;10;2;2;1;-;-;-;-;-;6;-;-;-;-;-;-;3130;1508;220;28;11;23;215;5440
"35 S�o Paulo";65;16;1;120;13;15;9;5;3;-;-;-;48;8;2;25;231;103;1;-;2;-;-;2;-;-;2;1;3;5;7;5;14;1;-;1;4;1;-;6533;4130;598;62;87;32;1953;14108
"41 Paran�";25;4;1;13;1;7;3;2;-;-;-;-;-;-;-;-;28;16;-;-;-;-;-;-;-;-;1;1;-;2;-;3;7;-;-;-;-;-;-;2630;1827;284;9;13;61;390;5328
"42 Santa Catarina";5;2;1;7;-;1;1;3;-;-;-;-;1;-;-;-;19;10;-;-;-;-;-;-;-;-;-;-;-;-;-;1;4;-;-;-;-;1;-;2088;1325;331;5;27;7;129;3968
"43 Rio Grande do Sul";5;3;-;28;-;9;2;10;1;-;-;-;10;6;1;1;43;14;-;-;-;-;-;1;-;-;-;-;-;14;-;-;10;-;-;1;-;-;-;2414;1490;183;9;48;65;617;4985
"50 Mato Grosso do Sul";1;-;-;8;-;1;-;21;-;-;-;-;-;-;-;-;9;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;1;1;-;-;-;-;740;627;67;3;55;8;12;1567
"51 Mato Grosso";1;-;-;4;-;-;-;18;-;-;-;-;-;-;-;-;9;4;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;880;634;82;3;12;2;34;1686
"52 Goi�s";-;-;-;4;-;10;-;1;-;-;-;-;1;-;-;1;35;40;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18;-;-;-;-;-;-;1654;1288;195;11;65;31;101;3455
"53 Distrito Federal";2;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;17;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;607;281;36;3;14;6;-;979
"Total";255;71;13;349;25;111;23;305;8;1;2;1;71;14;3;30;888;665;2;1;14;2;1;14;2;2;4;3;6;21;7;13;237;5;4;2;6;2;2;49972;35039;5329;213;674;430;4573;99415 
