"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"21 EAB3SB - EQUIPE DE ATENCAO BASICA TIPO III COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"30 ESF3      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO III";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"Total"
"32 Esp�rito Santo";214;440;3;119;13;6;8;-;-;8;-;-;-;-;-;-;-;-;2;1;1;-;-;-;2;-;-;-;-;1;-;2;2;-;-;-;-;-;-;-;-;822
"33 Rio de Janeiro";980;879;198;194;34;128;1;1;-;3;2;-;-;-;-;1;-;-;4;-;-;45;28;-;-;-;-;-;121;23;20;20;5;7;-;3;5;-;-;3;-;2705
"35 S�o Paulo";1909;1738;221;637;83;204;16;2;-;34;17;-;-;-;-;51;7;2;95;5;-;105;46;7;9;1;-;-;61;17;6;129;31;5;3;4;25;4;16;3;-;5493
"41 Paran�";697;939;403;208;3;107;37;-;-;8;-;-;-;-;-;2;2;-;30;9;-;17;7;1;1;1;-;-;11;4;3;4;4;1;1;4;2;-;22;-;-;2528
"42 Santa Catarina";592;919;49;75;2;73;37;-;-;1;-;-;-;-;-;-;-;-;3;1;-;5;2;-;1;-;-;-;-;-;-;3;3;-;2;1;-;-;52;-;-;1821
"43 Rio Grande do Sul";606;815;35;165;22;34;14;5;-;9;-;-;-;-;-;5;2;-;10;1;-;8;5;4;2;-;-;-;8;9;-;15;5;1;1;2;1;-;11;-;-;1795
"50 Mato Grosso do Sul";7;469;24;94;17;26;20;19;-;3;-;-;-;-;-;-;-;-;1;-;-;1;2;-;-;-;-;-;-;8;-;1;2;-;-;1;1;-;8;1;-;705
"51 Mato Grosso";169;380;57;75;9;12;17;-;2;3;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;2;-;-;-;-;-;-;1;-;-;11;-;-;740
"52 Goi�s";297;856;111;40;9;56;25;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13;11;1;1;-;-;-;-;-;-;-;1;-;-;-;3;-;43;2;-;1469
"53 Distrito Federal";181;56;-;24;14;10;-;-;-;2;-;-;-;-;-;1;1;-;-;-;-;10;3;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;304
"Total";11911;21921;2255;3328;324;2138;653;65;24;240;23;19;21;4;4;67;12;2;152;17;1;355;201;17;32;2;1;1;213;80;29;202;63;14;10;44;42;8;504;17;1;45017
