"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"21 EAB3SB - EQUIPE DE ATENCAO BASICA TIPO III COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"27 ESF2      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"30 ESF3      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO III";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"39 ESFRSB_MII - ESF RIBEIRINHA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"49 EAP";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"Total"
"32 Esp�rito Santo";265;460;1;87;13;14;9;4;-;5;-;-;-;-;-;-;-;-;4;-;1;-;-;1;2;-;-;-;-;-;1;-;-;-;-;-;1;2;-;-;1;-;-;-;-;-;-;-;-;871
"33 Rio de Janeiro";1130;930;214;128;34;132;2;1;-;4;2;-;-;-;-;37;3;-;8;-;4;53;31;2;1;-;-;-;-;77;19;16;20;3;3;-;1;3;8;-;-;3;-;-;-;-;-;-;-;2869
"35 S�o Paulo";2576;1852;241;437;65;216;28;2;-;24;15;-;-;-;-;55;12;2;91;5;-;139;64;7;13;-;2;2;-;57;15;6;108;21;7;-;8;7;22;3;57;6;-;-;1;-;10;-;3;6179
"41 Paran�";867;965;394;180;3;110;56;-;-;5;-;-;-;-;-;2;2;-;33;8;-;21;10;1;2;3;-;-;-;10;3;1;10;1;1;-;2;3;2;1;53;-;-;-;-;-;-;-;1;2750
"42 Santa Catarina";651;949;51;68;2;90;48;-;-;6;-;-;-;-;-;-;-;-;3;1;-;9;4;1;1;-;-;-;-;-;-;-;3;5;-;-;2;1;-;-;92;3;-;-;3;1;-;2;2;1998
"43 Rio Grande do Sul";840;877;50;154;6;36;20;5;-;4;-;-;-;-;-;5;2;-;7;1;-;20;7;3;4;-;-;-;-;8;10;-;11;4;-;-;1;2;1;3;54;2;-;-;4;1;17;1;3;2163
"50 Mato Grosso do Sul";24;501;20;93;8;32;19;19;-;2;-;-;-;-;-;1;-;-;-;-;-;3;3;-;-;-;-;-;-;-;2;-;-;2;-;-;-;2;1;-;10;2;-;-;22;4;5;3;-;778
"51 Mato Grosso";174;401;60;71;8;12;18;-;5;1;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;18;-;-;-;-;-;-;-;-;772
"52 Goi�s";324;900;104;27;9;70;34;1;-;-;-;-;-;-;-;-;-;-;-;-;-;22;22;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;3;-;71;6;-;-;3;-;-;-;-;1598
"53 Distrito Federal";183;79;-;16;4;11;-;-;-;3;-;-;-;-;-;3;2;-;-;-;-;10;6;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;4;-;5;329
"Total";14125;22917;2305;2773;225;2484;788;87;30;169;19;38;48;2;7;113;24;2;153;17;5;482;308;18;38;4;2;2;1;162;56;23;168;53;12;1;26;52;48;7;838;63;1;6;57;12;69;13;37;48890
