"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"21 EAB3SB - EQUIPE DE ATENCAO BASICA TIPO III COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"27 ESF2      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"30 ESF3      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO III";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"39 ESFRSB_MII - ESF RIBEIRINHA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"49 EAP";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"Total"
"32 Esp�rito Santo";271;461;2;86;13;10;9;4;-;5;-;-;-;-;-;-;-;-;4;-;1;-;-;1;2;-;-;-;-;-;1;-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;873
"33 Rio de Janeiro";1123;911;235;126;34;130;2;1;-;4;2;-;-;-;-;37;3;-;8;-;4;52;31;3;-;-;-;-;-;74;18;16;21;4;1;-;1;3;8;-;-;3;-;-;-;-;-;-;-;2855
"35 S�o Paulo";2529;1852;248;433;70;212;29;2;-;20;10;-;-;-;-;41;3;1;91;5;-;136;63;6;13;-;2;2;-;59;15;6;100;19;6;-;7;7;22;3;52;6;-;-;-;-;7;-;2;6079
"41 Paran�";848;970;399;178;3;107;56;-;-;5;-;-;-;-;-;2;2;-;33;8;-;21;10;1;2;3;-;-;-;9;3;2;9;-;1;-;2;3;2;1;46;-;-;-;-;-;-;-;-;2726
"42 Santa Catarina";645;949;49;67;2;85;46;-;-;6;-;-;-;-;-;-;-;-;3;1;-;9;3;1;1;-;-;-;-;-;-;-;3;5;-;-;2;1;-;-;84;2;-;-;3;1;-;1;1;1970
"43 Rio Grande do Sul";799;871;50;151;6;38;20;5;-;4;-;-;-;-;-;4;2;-;8;1;-;18;4;4;6;-;-;-;-;9;12;-;7;3;-;-;1;2;1;3;50;2;-;-;4;-;16;1;4;2106
"50 Mato Grosso do Sul";23;501;21;91;10;32;19;19;-;3;-;-;-;-;-;-;-;-;-;-;-;3;3;-;-;-;-;-;-;-;2;-;-;2;-;-;-;2;1;-;10;2;-;-;20;4;3;3;-;774
"51 Mato Grosso";176;401;60;71;8;13;18;-;4;1;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;15;-;-;-;-;-;-;-;-;771
"52 Goi�s";323;889;104;29;9;67;33;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22;19;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;3;-;64;4;-;-;1;-;-;-;-;1569
"53 Distrito Federal";183;77;-;18;4;12;-;-;-;4;-;-;-;-;-;3;2;-;-;-;-;11;5;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;4;-;5;331
"Total";13944;22948;2331;2754;243;2433;780;86;28;151;16;35;45;2;6;97;12;1;154;15;5;474;290;19;39;4;2;2;1;161;58;24;154;49;9;1;22;50;47;7;797;54;1;6;48;10;54;10;32;48511
