"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"21 EAB3SB - EQUIPE DE ATENCAO BASICA TIPO III COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"30 ESF3      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO III";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"Total"
"32 Esp�rito Santo";261;449;3;91;13;8;8;-;-;7;-;-;-;-;-;-;-;-;3;-;1;-;-;1;1;-;-;-;-;1;-;3;1;-;-;2;-;-;1;-;-;854
"33 Rio de Janeiro";1082;910;215;158;34;132;1;1;-;6;1;-;-;-;-;1;-;-;4;-;-;52;30;2;-;-;-;-;70;9;16;9;2;-;1;5;5;-;-;3;-;2749
"35 S�o Paulo";2324;1811;240;429;80;222;27;2;-;22;7;-;-;-;-;43;4;1;99;6;2;126;51;6;8;-;-;-;61;17;5;101;20;6;5;4;24;4;32;2;-;5791
"41 Paran�";775;958;402;181;3;109;50;-;-;4;-;-;-;-;-;2;2;-;31;10;-;19;9;1;3;3;-;-;12;4;3;7;-;1;2;3;2;-;40;-;-;2636
"42 Santa Catarina";616;928;52;71;2;79;44;-;-;1;-;-;-;-;-;-;-;-;3;1;-;9;3;-;2;-;-;-;-;-;-;2;4;-;2;1;-;-;76;1;-;1897
"43 Rio Grande do Sul";729;847;46;148;22;36;17;5;-;3;-;-;-;-;-;4;2;-;9;1;-;9;6;5;4;-;-;-;6;4;-;9;3;-;1;2;1;-;38;2;-;1959
"50 Mato Grosso do Sul";15;486;21;94;18;30;18;19;-;3;-;-;-;-;-;-;-;-;-;-;-;2;2;-;-;-;-;-;-;3;-;-;1;-;-;2;1;-;11;2;-;728
"51 Mato Grosso";167;398;55;74;8;13;16;-;4;1;-;-;-;-;-;-;-;-;-;-;-;1;1;2;-;-;-;-;2;-;-;1;1;-;-;1;-;-;12;-;-;757
"52 Goi�s";311;865;110;35;9;67;31;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;17;-;-;-;-;-;-;-;-;-;1;-;-;-;3;-;63;4;-;1536
"53 Distrito Federal";199;56;-;25;14;12;-;-;-;2;-;-;-;-;-;1;2;-;-;-;-;11;3;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;-;-;328
"Total";13164;22458;2305;2888;329;2368;740;75;25;174;15;27;45;2;6;58;10;1;156;18;3;428;248;23;29;4;1;1;160;45;24;149;44;8;15;51;42;6;724;36;2;46907
