"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"21 EAB3SB - EQUIPE DE ATENCAO BASICA TIPO III COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"30 ESF3      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO III";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"Total"
"32 Esp�rito Santo";254;446;3;93;13;7;8;-;-;10;-;-;-;-;-;-;-;-;3;1;1;-;-;1;1;-;-;-;-;1;-;3;1;-;-;2;-;-;1;-;-;849
"33 Rio de Janeiro";1064;905;214;163;34;133;1;1;-;7;-;-;-;-;-;1;-;-;4;-;-;50;29;-;-;-;-;-;69;9;17;13;2;-;2;4;5;-;-;3;-;2730
"35 S�o Paulo";2200;1797;233;457;80;216;24;2;-;31;5;-;-;-;-;45;7;1;100;6;2;122;48;8;9;-;-;-;62;19;5;103;26;7;5;2;24;4;32;2;-;5684
"41 Paran�";760;954;404;184;3;108;47;-;-;5;-;-;-;-;-;2;2;-;31;9;-;18;8;1;2;3;-;-;11;3;3;8;-;1;1;4;2;-;40;-;-;2614
"42 Santa Catarina";602;924;53;75;2;79;43;-;-;2;-;-;-;-;-;-;-;-;3;1;-;6;3;-;2;-;-;-;-;-;-;1;5;-;1;1;-;-;72;1;-;1876
"43 Rio Grande do Sul";713;841;45;149;22;36;16;5;-;4;-;-;-;-;-;4;2;-;9;1;-;9;6;5;5;-;-;-;6;5;-;10;3;-;1;2;1;-;31;2;-;1933
"50 Mato Grosso do Sul";12;483;21;95;18;28;19;19;-;3;-;-;-;-;-;-;-;-;-;-;-;2;2;-;-;-;-;-;-;5;-;-;1;-;-;2;1;-;10;2;-;723
"51 Mato Grosso";166;397;55;75;8;13;16;-;3;2;-;-;-;-;-;-;-;-;-;-;-;1;1;2;-;-;-;-;2;-;-;-;-;-;-;1;-;-;11;-;-;753
"52 Goi�s";301;857;108;39;9;64;30;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19;14;1;-;-;-;-;-;-;-;-;1;-;-;-;3;-;60;2;-;1508
"53 Distrito Federal";199;58;-;25;14;12;-;-;-;2;-;-;-;-;-;1;2;-;-;-;-;11;3;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;-;-;330
"Total";12802;22348;2298;2987;329;2319;717;72;28;197;10;27;42;4;4;60;13;1;157;18;3;413;234;23;31;4;1;1;158;53;25;157;47;9;14;49;42;6;685;32;2;46422
