"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"21 EAB3SB - EQUIPE DE ATENCAO BASICA TIPO III COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"30 ESF3      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO III";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"49 EAP";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"Total"
"32 Esp�rito Santo";272;451;3;86;13;10;9;4;-;5;-;-;-;-;-;-;-;-;4;-;1;-;-;1;2;-;-;-;-;1;-;1;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;866
"33 Rio de Janeiro";1117;906;236;133;34;128;1;1;-;4;1;-;-;-;-;34;2;-;10;-;3;50;29;3;-;-;-;-;76;16;15;8;4;-;1;3;7;-;-;2;-;-;-;-;-;-;-;2824
"35 S�o Paulo";2479;1833;244;429;79;213;29;3;-;20;9;-;-;-;-;43;3;1;100;6;2;134;61;7;10;-;-;-;61;15;6;103;21;8;6;3;25;3;42;5;-;-;-;-;-;-;-;6003
"41 Paran�";806;965;400;177;3;108;53;-;-;5;-;-;-;-;-;2;2;-;32;9;-;21;10;1;3;3;-;-;11;3;3;9;1;1;2;3;2;-;43;-;-;-;-;-;-;-;-;2678
"42 Santa Catarina";630;947;47;69;2;82;45;-;-;4;-;-;-;-;-;-;-;-;3;1;-;9;3;-;1;-;-;-;-;-;-;3;4;-;2;1;-;-;83;2;-;-;-;-;-;-;-;1938
"43 Rio Grande do Sul";768;862;49;146;19;38;19;5;-;3;-;-;-;-;-;4;2;-;8;1;-;17;6;7;4;-;-;-;10;8;-;8;5;-;1;2;1;-;44;3;-;-;1;-;4;1;-;2046
"50 Mato Grosso do Sul";21;497;21;92;11;31;19;18;-;3;-;-;-;-;-;-;-;-;-;-;-;3;3;-;-;-;-;-;-;3;-;-;1;-;-;2;1;-;10;2;-;-;12;3;2;3;-;758
"51 Mato Grosso";172;399;60;74;8;13;18;-;4;1;-;-;-;-;-;-;-;-;-;-;-;1;1;2;-;-;-;-;2;-;-;-;-;-;-;1;-;-;13;-;-;-;-;-;-;-;-;769
"52 Goi�s";321;870;109;31;9;66;32;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21;19;-;1;-;-;-;-;-;-;-;1;-;-;-;3;-;64;4;-;-;-;-;-;-;-;1551
"53 Distrito Federal";181;74;-;21;8;12;-;-;-;1;-;-;-;-;-;2;2;-;-;-;-;11;3;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;2;-;4;324
"Total";13675;22761;2331;2774;298;2420;762;81;25;148;15;35;46;2;6;92;11;1;164;17;6;459;279;25;33;4;1;1;169;54;24;147;50;10;19;46;48;3;766;48;1;3;28;4;17;4;4;47917
