"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"21 EAB3SB - EQUIPE DE ATENCAO BASICA TIPO III COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"30 ESF3      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO III";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"Total"
"32 Esp�rito Santo";199;431;2;126;8;4;3;-;-;8;-;-;-;-;-;-;-;-;2;-;-;-;-;-;1;-;1;-;-;-;-;1;2;-;-;-;-;-;-;788
"33 Rio de Janeiro";919;886;210;207;33;111;1;1;-;4;4;-;-;-;-;-;-;-;1;-;-;24;13;-;-;-;-;-;92;13;15;36;7;3;-;1;4;-;-;2585
"35 S�o Paulo";1889;1692;192;613;83;165;6;2;-;31;6;-;-;-;-;25;1;1;34;2;1;64;34;8;5;1;-;-;74;18;6;138;24;9;3;2;13;2;-;5144
"41 Paran�";636;906;403;236;4;72;20;1;-;5;4;-;-;-;-;3;1;-;-;3;-;13;7;2;-;-;-;-;4;2;2;2;4;1;-;3;-;-;1;2335
"42 Santa Catarina";561;884;62;81;2;53;34;-;-;5;-;-;-;-;-;-;-;-;-;-;-;4;1;-;1;-;-;-;-;-;-;2;1;-;1;1;-;2;-;1695
"43 Rio Grande do Sul";580;791;29;182;19;25;10;5;-;9;-;-;-;-;-;5;-;-;7;1;-;5;2;-;1;-;-;-;6;5;-;6;3;-;-;-;1;-;-;1692
"50 Mato Grosso do Sul";10;447;24;89;17;21;23;21;-;2;-;-;-;-;-;-;-;-;2;-;-;1;1;-;-;-;-;-;-;6;-;-;6;-;-;-;1;-;1;672
"51 Mato Grosso";164;373;55;71;8;9;15;-;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;702
"52 Goi�s";274;853;116;43;7;35;18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8;5;-;-;-;-;-;-;-;-;-;1;-;2;-;1;-;-;1363
"53 Distrito Federal";162;63;-;42;13;8;-;-;-;3;-;-;-;-;-;-;1;-;-;-;-;9;3;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;305
"Total";10989;21387;2164;3724;302;1653;491;55;16;324;27;3;5;2;2;39;3;1;48;6;1;222;115;13;14;1;1;1;184;59;23;218;78;14;9;28;21;14;6;42263
