"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"21 EAB3SB - EQUIPE DE ATENCAO BASICA TIPO III COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"30 ESF3      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO III";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"Total"
"32 Esp�rito Santo";205;436;3;121;12;6;5;-;-;9;-;-;-;-;-;-;-;-;2;1;1;-;-;-;2;-;-;-;-;1;-;2;2;-;-;-;-;-;-;-;-;808
"33 Rio de Janeiro";928;869;195;208;34;126;1;1;-;10;4;-;-;-;-;1;-;-;4;-;-;46;27;-;1;-;-;-;134;25;20;23;7;1;1;2;5;-;-;3;-;2676
"35 S�o Paulo";1850;1710;213;659;82;182;9;2;-;37;14;-;-;-;-;51;6;2;98;5;-;96;43;8;9;2;-;-;62;18;7;145;24;4;3;3;15;4;5;3;-;5371
"41 Paran�";680;919;394;226;4;94;28;1;-;12;3;-;-;-;-;2;2;-;29;9;-;17;7;1;1;1;-;-;8;4;4;5;7;2;3;3;1;-;13;-;-;2480
"42 Santa Catarina";576;905;50;77;2;64;35;-;-;5;-;-;-;-;-;-;-;-;3;1;-;2;1;-;1;-;-;-;-;-;-;2;3;-;2;1;-;-;23;-;-;1753
"43 Rio Grande do Sul";599;794;31;177;21;32;10;5;-;9;-;-;-;-;-;5;2;-;10;1;-;6;4;2;2;-;-;-;8;11;-;11;1;-;-;1;1;1;9;-;-;1753
"50 Mato Grosso do Sul";9;464;22;95;17;28;18;21;-;4;-;-;-;-;-;-;-;-;1;-;-;1;1;-;1;-;-;-;-;10;-;-;3;-;-;1;1;-;7;-;-;704
"51 Mato Grosso";160;377;59;84;8;12;17;-;2;5;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;5;-;-;731
"52 Goi�s";287;851;113;42;8;52;19;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12;8;1;1;-;-;-;-;-;-;-;2;-;2;-;1;-;30;-;-;1429
"53 Distrito Federal";149;58;-;51;14;10;-;-;-;7;-;-;-;-;-;-;1;-;-;-;-;11;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;304
"Total";11240;21605;2201;3687;316;1950;575;61;22;360;31;6;11;2;3;66;11;2;154;17;1;321;173;15;32;4;1;1;223;94;31;220;80;8;13;37;26;9;292;9;1;43911
