"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"21 EAB3SB - EQUIPE DE ATENCAO BASICA TIPO III COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"30 ESF3      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO III";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"Total"
"32 Esp�rito Santo";202;433;2;119;8;4;3;-;-;8;-;-;-;-;-;-;-;-;2;1;1;-;-;-;1;-;1;-;-;-;-;1;3;-;-;-;-;-;-;789
"33 Rio de Janeiro";918;888;207;213;33;111;1;1;-;4;4;-;-;-;-;-;-;-;1;-;-;35;19;-;-;-;-;-;88;14;15;31;8;1;-;1;4;-;-;2597
"35 S�o Paulo";1872;1718;199;607;83;171;7;2;-;27;7;-;-;-;-;41;3;1;77;8;1;66;36;8;5;1;-;-;72;18;6;150;19;7;3;3;14;2;-;5234
"41 Paran�";656;904;404;227;4;79;20;1;-;6;4;-;-;-;-;1;2;-;24;15;-;13;7;2;1;-;-;-;7;5;2;3;4;-;-;3;-;-;1;2395
"42 Santa Catarina";559;891;65;80;2;54;35;-;-;4;-;-;-;-;-;-;-;-;3;1;-;4;1;-;1;-;-;-;-;-;-;-;1;-;1;1;-;1;-;1704
"43 Rio Grande do Sul";583;790;29;182;19;25;10;5;-;11;-;-;-;-;-;6;-;-;8;3;-;5;2;-;1;-;-;-;10;8;-;6;4;-;-;-;1;-;-;1708
"50 Mato Grosso do Sul";10;449;23;86;17;24;21;21;-;3;-;-;-;-;-;-;-;-;1;-;-;1;1;-;2;-;-;-;-;8;-;-;4;-;-;-;1;-;1;673
"51 Mato Grosso";162;369;54;74;8;8;16;-;2;4;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;700
"52 Goi�s";267;859;116;43;8;35;18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8;5;-;-;-;-;-;-;-;-;-;2;-;2;-;1;-;-;1364
"53 Distrito Federal";158;63;-;46;13;8;-;-;-;4;-;-;-;-;-;-;1;-;-;-;-;9;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;305
"Total";11016;21409;2164;3698;303;1686;498;57;16;331;29;4;5;2;2;55;6;1;124;28;2;236;126;13;18;1;1;1;183;72;23;237;88;10;9;29;22;14;12;42531
