"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"21 EAB3SB - EQUIPE DE ATENCAO BASICA TIPO III COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"30 ESF3      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO III";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"Total"
"32 Esp�rito Santo";200;444;3;122;12;6;7;-;-;10;-;-;-;-;-;-;-;-;2;1;1;-;-;-;2;-;-;-;-;1;-;2;3;-;-;-;-;-;-;-;-;816
"33 Rio de Janeiro";924;871;199;219;34;127;1;1;-;14;6;-;-;-;-;1;-;-;4;-;-;46;27;-;1;-;-;-;142;20;22;17;7;2;-;3;5;-;-;2;-;2695
"35 S�o Paulo";1826;1736;219;665;81;190;11;2;-;33;16;-;-;-;-;50;6;2;97;6;-;97;43;7;9;1;-;-;63;18;6;140;30;5;3;3;15;4;11;3;-;5398
"41 Paran�";693;925;402;216;3;93;32;1;-;8;2;-;-;-;-;2;2;-;29;9;-;17;7;1;1;1;-;-;8;4;4;3;6;-;1;5;1;-;14;-;-;2490
"42 Santa Catarina";573;906;49;76;2;65;36;-;-;6;-;-;-;-;-;-;-;-;3;1;-;3;1;-;1;-;-;-;-;-;-;3;3;-;2;1;-;-;33;-;-;1764
"43 Rio Grande do Sul";591;794;31;175;20;32;11;5;-;9;-;-;-;-;-;5;2;-;10;1;-;6;4;2;2;-;-;-;8;14;-;13;2;-;-;1;1;-;10;-;-;1749
"50 Mato Grosso do Sul";9;465;22;95;17;28;18;19;-;2;-;-;-;-;-;-;-;-;1;-;-;1;1;-;-;-;-;-;-;10;-;-;3;-;-;1;1;-;8;-;-;701
"51 Mato Grosso";172;376;59;76;8;12;18;-;2;6;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2;-;-;-;-;-;-;1;-;-;7;-;-;740
"52 Goi�s";287;850;113;42;9;52;22;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13;9;1;1;-;-;-;-;-;-;-;2;-;2;-;1;-;31;1;-;1436
"53 Distrito Federal";167;56;-;36;14;10;-;-;-;3;-;-;-;-;-;1;1;-;-;-;-;11;3;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;303
"Total";11318;21678;2220;3605;317;2002;594;64;23;345;34;9;12;2;3;66;11;2;153;18;1;323;175;14;31;3;1;1;234;93;32;212;79;8;11;42;26;7;357;10;1;44137
