"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"21 EAB3SB - EQUIPE DE ATENCAO BASICA TIPO III COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"30 ESF3      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO III";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"Total"
"32 Esp�rito Santo";203;440;3;121;7;5;4;-;-;9;-;-;-;-;-;-;-;-;2;1;1;-;-;-;1;-;1;-;-;-;-;2;2;-;-;-;-;-;-;-;802
"33 Rio de Janeiro";945;872;193;187;33;124;1;1;-;6;3;-;-;-;-;1;-;-;4;-;-;44;26;-;-;-;-;-;110;16;16;40;11;5;1;1;6;-;-;3;2649
"35 S�o Paulo";1865;1715;211;641;83;184;8;2;-;24;7;-;-;-;-;54;6;2;94;5;-;89;43;8;6;1;-;-;70;19;7;146;18;3;3;3;13;2;-;3;5335
"41 Paran�";666;908;400;228;4;83;24;1;-;12;4;-;-;-;-;1;2;-;30;10;-;16;7;2;1;-;-;-;7;3;4;5;7;2;3;3;1;-;5;-;2439
"42 Santa Catarina";567;894;53;79;2;55;36;-;-;5;-;-;-;-;-;-;-;-;3;1;-;4;1;-;1;-;-;-;-;-;-;2;2;-;2;1;-;-;8;-;1716
"43 Rio Grande do Sul";588;790;31;186;19;30;10;5;-;10;-;-;-;-;-;5;2;-;10;1;-;5;4;1;1;-;-;-;10;9;-;8;4;-;-;1;1;-;5;-;1736
"50 Mato Grosso do Sul";12;451;21;94;17;27;19;21;-;8;-;-;-;-;-;-;-;-;1;-;-;1;1;-;2;-;-;-;-;9;-;-;5;-;-;1;1;-;5;-;696
"51 Mato Grosso";162;375;57;82;7;10;17;-;2;4;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;3;-;721
"52 Goi�s";275;859;113;42;8;45;20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9;5;-;-;-;-;-;-;-;-;-;2;-;2;-;1;-;23;-;1404
"53 Distrito Federal";156;58;-;55;14;10;-;-;-;5;-;-;-;-;-;-;1;-;-;-;-;11;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;313
"Total";11050;21529;2197;3734;302;1817;543;61;18;353;21;4;10;2;3;68;11;2;151;18;1;299;159;14;27;2;2;1;207;78;27;244;78;11;13;33;25;8;152;7;43282
