"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"70 ESF - EQUIPE DE SAUDE DA FAMILIA";"71 ESB - EQUIPE DE SAUDE BUCAL";"72 ENASF-AB - EQ NUCLEO AMPLIADO SAUDE DA FAMILIA AT. PRIMARIA";"73 ECR - EQUIPE DOS CONSULTORIOS NA RUA";"74 EABP - EQUIPE DE ATENCAO PRIMARIA PRISIONAL";"75 EMAESM - EQ  MULTIPROF  ATENCAO ESPECIALIZADA SAUDE MENTAL";"76 EAP - EQUIPE DE ATENCAO PRIMARIA";"Total"
"32 Esp�rito Santo";11;9;-;10;-;2;2;5;-;-;-;-;-;-;-;-;3;4;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;919;652;33;5;25;12;152;1846
"33 Rio de Janeiro";70;11;7;38;1;2;2;2;1;1;-;-;7;-;-;3;75;45;-;-;12;2;1;10;2;2;1;-;-;-;-;-;5;1;-;-;-;-;-;3034;1375;215;26;11;-;144;5106
"35 S�o Paulo";70;16;1;122;14;16;10;5;4;-;-;-;49;8;2;24;222;100;1;-;2;-;-;3;-;-;3;1;3;5;7;5;13;1;-;1;4;1;-;6448;3887;547;56;73;27;1733;13484
"41 Paran�";25;4;1;14;1;7;3;2;-;-;-;-;-;-;-;-;26;14;-;-;-;-;-;-;-;-;1;1;-;2;-;3;6;-;1;-;-;-;-;2611;1694;293;7;10;8;373;5107
"42 Santa Catarina";6;2;1;7;-;4;1;2;-;-;-;-;1;-;-;-;15;8;-;-;-;-;-;-;-;-;-;-;-;-;-;6;3;-;-;-;-;1;-;2040;1284;271;5;26;6;102;3791
"43 Rio Grande do Sul";6;4;-;29;-;9;2;10;1;-;-;-;10;6;1;2;40;13;-;-;-;-;-;1;-;-;-;-;-;14;-;-;8;-;-;1;-;-;-;2386;1375;196;9;45;32;511;4711
"50 Mato Grosso do Sul";1;-;-;8;-;1;-;22;-;-;-;-;-;-;-;-;10;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;1;2;1;-;-;-;739;626;71;3;49;1;6;1554
"51 Mato Grosso";1;-;-;4;-;-;-;18;-;-;-;-;-;-;-;-;8;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;858;636;85;2;10;-;25;1651
"52 Goi�s";1;-;-;4;-;10;-;1;-;-;-;-;1;-;-;1;34;40;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18;-;-;-;-;-;-;1598;1270;205;9;61;7;82;3342
"53 Distrito Federal";2;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;15;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;599;267;35;3;13;-;-;947
"Total";277;77;14;357;26;117;24;295;15;1;2;2;72;14;3;30;850;621;2;1;14;2;1;15;2;2;5;3;6;21;7;18;216;6;6;3;6;2;2;49202;33690;5360;195;620;169;3870;96243
