"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"70 ESF - EQUIPE DE SAUDE DA FAMILIA";"71 ESB - EQUIPE DE SAUDE BUCAL";"72 ENASF-AB - EQ NUCLEO AMPLIADO SAUDE DA FAMILIA AT. PRIMARIA";"73 ECR - EQUIPE DOS CONSULTORIOS NA RUA";"74 EABP - EQUIPE DE ATENCAO PRIMARIA PRISIONAL";"75 EMAESM - EQ  MULTIPROF  ATENCAO ESPECIALIZADA SAUDE MENTAL";"76 EAP - EQUIPE DE ATENCAO PRIMARIA";"Total"
"32 Esp�rito Santo";11;9;-;11;-;2;2;5;-;-;-;-;-;-;-;-;3;4;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;918;644;33;5;25;12;147;1833
"33 Rio de Janeiro";71;12;7;40;1;2;2;2;1;1;-;-;7;-;-;3;75;45;-;-;12;2;1;10;2;2;2;-;-;-;-;-;5;1;-;-;-;-;-;3021;1362;214;25;11;-;133;5072
"35 S�o Paulo";70;16;1;122;15;17;10;5;4;-;-;-;49;8;2;24;224;99;1;-;2;-;-;3;-;-;3;1;3;5;7;5;12;1;-;1;4;1;-;6437;3838;545;56;77;27;1598;13293
"41 Paran�";26;5;1;15;1;7;3;2;-;-;-;-;-;-;-;-;25;14;-;-;-;-;-;-;-;-;1;1;-;2;-;3;6;-;1;-;-;-;-;2608;1692;297;7;10;7;358;5092
"42 Santa Catarina";6;2;1;7;-;4;1;2;-;-;-;-;1;-;-;-;14;8;-;-;-;-;-;-;-;-;-;-;-;-;-;6;3;-;-;-;-;1;-;2037;1276;272;5;27;6;100;3779
"43 Rio Grande do Sul";6;4;-;29;-;9;2;9;1;-;-;-;10;6;1;2;40;14;-;-;-;-;-;1;-;-;-;-;-;14;-;-;8;-;-;1;-;-;-;2389;1374;195;9;45;31;502;4702
"50 Mato Grosso do Sul";1;1;-;8;-;1;-;22;-;-;-;-;-;-;-;-;10;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;1;2;1;-;-;-;737;623;73;3;49;1;7;1553
"51 Mato Grosso";1;-;-;4;-;-;-;18;-;-;-;-;-;-;-;-;8;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;856;636;85;2;11;-;14;1639
"52 Goi�s";3;1;-;4;-;10;-;1;-;-;-;-;1;-;-;1;33;39;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17;-;-;1;-;-;-;1602;1258;209;9;61;8;76;3334
"53 Distrito Federal";2;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;14;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;598;263;33;3;14;-;-;940
"Total";281;82;15;363;27;120;26;288;15;1;2;2;72;14;3;30;846;617;2;1;14;2;1;15;2;2;6;3;6;21;7;20;210;6;6;4;6;2;2;49133;33482;5387;194;624;163;3620;95745
