"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"70 ESF - EQUIPE DE SAUDE DA FAMILIA";"71 ESB - EQUIPE DE SAUDE BUCAL";"72 ENASF-AB - EQ NUCLEO AMPLIADO SAUDE DA FAMILIA AT. PRIMARIA";"73 ECR - EQUIPE DOS CONSULTORIOS NA RUA";"74 EABP - EQUIPE DE ATENCAO PRIMARIA PRISIONAL";"75 EMAESM - EQ  MULTIPROF  ATENCAO ESPECIALIZADA SAUDE MENTAL";"76 EAP - EQUIPE DE ATENCAO PRIMARIA";"Total"
"32 Esp�rito Santo";10;9;-;10;-;2;2;5;-;-;-;-;-;-;-;6;6;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1010;698;40;9;30;19;175;2033
"33 Rio de Janeiro";52;9;6;36;1;2;1;2;-;-;-;6;-;-;3;81;49;-;-;7;1;10;1;1;1;-;-;-;-;-;6;2;-;-;-;-;-;3333;1618;247;33;68;31;257;5864
"35 S�o Paulo";58;14;1;93;13;15;8;5;3;-;-;38;7;2;13;247;114;-;-;2;-;2;-;-;2;1;3;5;6;5;14;1;-;-;2;1;-;6684;4327;602;60;118;47;2498;15011
"41 Paran�";24;4;1;13;1;7;3;3;-;-;-;-;-;-;-;37;20;-;-;-;-;-;-;-;1;1;-;2;-;3;10;-;-;-;-;-;-;2681;1939;278;10;20;92;432;5582
"42 Santa Catarina";5;2;1;7;-;1;1;4;-;-;-;1;-;-;-;24;13;-;-;-;-;-;-;-;-;-;-;-;-;1;9;66;-;-;-;1;-;2199;1418;544;5;37;34;185;4558
"43 Rio Grande do Sul";1;1;-;25;-;4;1;10;1;-;-;-;1;-;-;44;13;-;-;-;-;1;-;-;-;-;-;2;-;-;12;-;-;1;-;-;-;2502;1579;157;12;67;92;610;5136
"50 Mato Grosso do Sul";1;-;-;8;-;1;-;25;-;-;-;-;-;-;-;11;11;-;-;-;-;-;-;-;-;-;-;-;-;-;3;1;-;-;-;-;-;750;654;94;4;71;9;25;1668
"51 Mato Grosso";-;-;-;3;-;-;-;18;-;-;-;-;-;-;-;6;6;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;896;672;74;3;15;2;46;1744
"52 Goi�s";-;-;-;4;-;10;-;2;-;-;-;1;-;-;-;43;54;-;-;-;-;-;-;-;-;-;-;-;-;-;32;-;-;-;-;-;-;1699;1329;155;11;75;60;137;3612
"53 Distrito Federal";2;-;-;-;-;4;-;-;-;-;-;-;-;-;-;17;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;620;298;44;5;27;8;-;1034
"Total";221;63;12;308;25;104;19;298;5;1;1;50;8;2;16;984;784;1;1;9;1;14;1;1;4;3;6;9;6;13;319;76;3;1;4;2;2;51348;36547;5427;239;942;683;5487;104050
