"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"70 ESF - EQUIPE DE SAUDE DA FAMILIA";"71 ESB - EQUIPE DE SAUDE BUCAL";"72 ENASF-AB - EQ NUCLEO AMPLIADO SAUDE DA FAMILIA AT. PRIMARIA";"73 ECR - EQUIPE DOS CONSULTORIOS NA RUA";"74 EABP - EQUIPE DE ATENCAO PRIMARIA PRISIONAL";"75 EMAESM - EQ  MULTIPROF  ATENCAO ESPECIALIZADA SAUDE MENTAL";"76 EAP - EQUIPE DE ATENCAO PRIMARIA";"Total"
"32 Esp�rito Santo";10;9;-;10;-;2;2;5;-;-;-;-;-;-;-;5;5;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;962;689;39;7;27;18;201;1993
"33 Rio de Janeiro";56;10;6;36;1;2;2;2;-;-;-;7;-;-;3;80;48;-;-;10;1;10;1;1;1;-;-;-;-;-;6;-;-;-;-;-;-;3284;1573;236;30;27;28;249;5710
"35 S�o Paulo";59;14;1;93;13;15;8;5;3;-;-;41;7;2;13;238;112;-;-;2;-;2;-;-;2;1;3;5;6;5;16;1;-;-;2;1;-;6629;4269;597;64;117;41;2201;14588
"41 Paran�";25;4;1;13;1;7;3;3;-;-;-;-;-;-;-;37;21;-;-;-;-;-;-;-;1;1;-;2;-;3;9;-;-;-;-;-;-;2663;1882;276;10;19;89;430;5500
"42 Santa Catarina";5;2;1;7;-;1;1;4;-;-;-;1;-;-;-;22;11;-;-;-;-;-;-;-;-;-;-;-;-;1;6;-;-;-;-;1;-;2170;1389;466;5;35;29;186;4343
"43 Rio Grande do Sul";1;1;-;25;-;4;2;10;1;-;-;-;1;-;-;43;13;-;-;-;-;1;-;-;-;-;-;2;-;-;11;-;-;1;-;-;-;2456;1546;166;11;56;85;636;5072
"50 Mato Grosso do Sul";1;-;-;8;-;1;-;25;-;-;-;-;-;-;-;10;10;-;-;-;-;-;-;-;-;-;-;-;-;-;3;1;1;-;-;-;-;749;645;98;4;67;9;14;1646
"51 Mato Grosso";-;-;-;4;-;-;-;19;-;-;-;-;-;-;-;9;5;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;888;651;81;3;14;2;37;1716
"52 Goi�s";1;-;-;4;-;10;-;1;-;-;-;1;-;-;-;40;53;-;-;-;-;-;-;-;-;-;-;-;-;-;31;-;-;-;-;-;-;1678;1320;175;11;72;55;132;3584
"53 Distrito Federal";2;-;-;-;-;4;-;-;-;-;-;-;-;-;-;16;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;616;287;40;5;15;8;-;1002
"Total";230;64;12;310;25;104;21;300;5;1;1;54;8;2;16;960;753;1;1;12;1;14;1;1;4;3;6;9;6;13;298;8;4;1;4;2;2;50865;36023;5406;233;842;630;5175;102431
