"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"70 ESF - EQUIPE DE SAUDE DA FAMILIA";"71 ESB - EQUIPE DE SAUDE BUCAL";"72 ENASF-AB - EQ NUCLEO AMPLIADO SAUDE DA FAMILIA AT. PRIMARIA";"73 ECR - EQUIPE DOS CONSULTORIOS NA RUA";"74 EABP - EQUIPE DE ATENCAO PRIMARIA PRISIONAL";"75 EMAESM - EQ  MULTIPROF  ATENCAO ESPECIALIZADA SAUDE MENTAL";"76 EAP - EQUIPE DE ATENCAO PRIMARIA";"Total"
"32 Esp�rito Santo";10;9;-;10;-;2;2;5;-;-;-;-;-;-;-;5;5;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;957;684;33;7;25;17;191;1964
"33 Rio de Janeiro";57;10;6;36;1;2;2;2;-;-;-;7;-;-;3;81;49;-;-;10;1;10;1;1;1;-;-;-;-;-;6;-;-;-;-;-;-;3200;1549;225;29;24;27;241;5581
"35 S�o Paulo";64;14;1;119;13;15;9;5;3;-;-;48;8;2;23;235;106;1;-;2;-;2;-;-;2;1;3;5;7;5;14;1;-;1;2;1;-;6596;4209;602;63;106;35;2035;14358
"41 Paran�";25;4;1;13;1;7;3;2;-;-;-;-;-;-;-;33;19;-;-;-;-;-;-;-;1;1;-;2;-;3;8;-;-;-;-;-;-;2653;1864;282;9;19;81;425;5456
"42 Santa Catarina";5;2;1;7;-;1;1;3;-;-;-;1;-;-;-;22;11;-;-;-;-;-;-;-;-;-;-;-;-;1;5;-;-;-;-;1;-;2160;1346;414;5;31;22;161;4200
"43 Rio Grande do Sul";4;2;-;27;-;9;2;11;1;-;-;10;6;1;1;44;14;-;-;-;-;1;-;-;-;-;-;14;-;-;11;-;-;1;-;-;-;2439;1541;177;9;51;79;641;5096
"50 Mato Grosso do Sul";1;-;-;8;-;1;-;24;-;-;-;-;-;-;-;10;11;-;-;-;-;-;-;-;-;-;-;-;-;-;3;1;1;-;-;-;-;745;637;69;4;64;8;13;1600
"51 Mato Grosso";-;-;-;4;-;-;-;18;-;-;-;-;-;-;-;9;4;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;883;644;80;3;13;2;37;1700
"52 Goi�s";-;-;-;4;-;10;-;1;-;-;-;1;-;-;1;37;50;-;-;-;-;-;-;-;-;-;-;-;-;-;28;-;-;-;-;-;-;1673;1308;183;11;71;50;121;3549
"53 Distrito Federal";2;-;-;-;-;4;-;-;-;-;-;-;-;-;-;17;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;613;283;37;5;15;8;-;993
"Total";239;65;12;339;25;109;22;303;5;1;1;71;14;3;28;937;723;2;1;12;1;14;1;1;4;3;6;21;7;13;277;7;4;2;4;2;2;50622;35596;5369;226;785;555;4911;101345
