"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"21 EAB3SB - EQUIPE DE ATENCAO BASICA TIPO III COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"27 ESF2      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"30 ESF3      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO III";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"39 ESFRSB_MII - ESF RIBEIRINHA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"49 EAP";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"Total"
"32 Esp�rito Santo";273;462;-;83;13;14;12;4;-;6;-;-;-;-;-;-;-;4;-;1;-;-;1;1;-;-;-;-;1;-;-;-;3;-;-;1;2;-;-;-;1;-;-;-;-;-;-;-;-;882
"33 Rio de Janeiro";1126;929;211;128;31;146;7;1;-;2;3;-;-;-;-;34;3;6;-;4;55;33;-;3;-;-;-;-;91;23;15;26;3;8;-;2;5;9;-;-;-;4;-;-;1;-;-;-;-;2909
"35 S�o Paulo";2663;1860;224;489;53;219;36;3;-;28;16;-;-;-;-;70;18;83;4;-;148;66;8;14;-;5;2;-;58;19;9;101;28;11;-;7;8;24;4;-;70;6;-;-;3;-;13;1;3;6374
"41 Paran�";921;956;382;176;3;121;57;-;-;4;2;-;-;-;-;5;2;37;9;-;21;10;3;3;3;-;-;-;14;3;3;14;5;3;-;1;7;1;1;-;68;-;-;-;3;1;-;-;1;2840
"42 Santa Catarina";649;966;60;64;1;97;54;-;-;3;-;-;-;-;-;-;-;3;1;-;9;5;2;-;-;-;-;-;1;-;-;6;3;-;-;2;1;-;-;-;108;3;-;-;5;1;2;3;5;2054
"43 Rio Grande do Sul";911;899;50;153;2;44;21;5;-;4;3;-;-;-;-;4;2;6;1;-;26;8;3;3;-;-;-;-;9;9;-;15;8;-;-;1;4;1;38;6;59;2;-;-;6;2;20;2;3;2330
"50 Mato Grosso do Sul";25;495;20;90;5;33;19;18;-;10;-;-;-;-;-;-;-;1;-;-;4;5;-;-;-;-;-;-;-;2;-;-;5;-;-;-;2;1;-;-;12;2;-;-;21;5;7;4;-;786
"51 Mato Grosso";179;404;61;73;7;15;21;-;6;2;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;22;1;-;-;-;-;-;-;-;796
"52 Goi�s";353;902;101;24;7;74;36;1;-;-;-;-;-;-;-;-;-;-;-;-;23;23;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;3;-;-;85;6;-;-;6;-;-;-;-;1646
"53 Distrito Federal";181;81;-;16;4;11;-;-;-;7;-;-;-;-;-;4;3;1;-;-;13;8;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;4;-;5;341
"Total";14465;22999;2288;2810;196;2582;851;87;58;289;30;46;49;3;7;137;34;174;18;5;514;338;20;38;4;5;2;1;183;70;28;183;87;24;1;29;61;53;43;6;968;78;2;6;82;17;77;22;40;50110
