"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"21 EAB3SB - EQUIPE DE ATENCAO BASICA TIPO III COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"27 ESF2      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"30 ESF3      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO III";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"49 EAP";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"Total"
"32 Esp�rito Santo";283;446;2;80;13;14;11;4;-;15;-;-;-;-;-;-;-;-;7;-;-;-;-;1;1;-;-;-;-;1;-;-;1;4;-;1;2;-;-;-;1;-;-;-;-;-;-;-;-;887
"33 Rio de Janeiro";1123;892;214;107;30;142;8;1;-;2;4;-;-;-;-;36;3;-;7;-;4;55;34;-;4;-;-;-;-;123;28;25;16;1;2;2;6;9;-;-;-;4;-;-;1;-;-;-;-;2883
"35 S�o Paulo";2760;1905;210;473;54;244;37;3;-;35;12;-;-;-;-;126;20;1;98;4;1;158;72;8;16;1;4;2;-;81;29;9;100;26;12;6;9;24;4;-;83;7;-;-;3;-;13;2;3;6655
"41 Paran�";962;972;379;161;2;125;61;-;-;7;-;-;-;-;-;6;2;-;40;10;-;22;10;4;1;3;-;-;-;15;5;1;14;7;4;1;7;1;5;1;73;-;-;-;2;1;-;-;2;2906
"42 Santa Catarina";675;964;60;60;1;101;56;-;-;2;-;-;-;-;-;2;-;-;4;1;-;12;6;2;-;-;-;-;-;1;-;-;12;6;-;2;1;-;-;-;114;3;-;-;6;2;2;2;5;2102
"43 Rio Grande do Sul";959;910;55;142;1;46;22;5;-;3;3;-;-;-;-;8;21;6;16;7;-;26;8;2;7;-;-;-;-;13;11;-;12;4;-;1;4;1;27;4;74;3;-;-;7;2;19;3;4;2436
"50 Mato Grosso do Sul";27;499;17;89;5;33;19;18;-;9;-;-;-;-;-;-;-;-;1;-;-;4;5;-;-;-;-;-;-;-;1;-;2;5;-;-;2;1;1;-;12;2;-;-;20;6;8;4;-;790
"51 Mato Grosso";189;414;60;77;7;15;22;-;7;2;-;-;-;-;-;-;-;-;1;-;-;2;2;1;-;-;-;-;-;1;-;-;-;-;-;-;1;1;-;-;26;1;-;-;-;-;-;-;-;829
"52 Goi�s";357;910;98;28;6;74;37;1;-;-;-;-;-;-;-;1;-;-;-;-;-;24;25;-;1;1;-;-;-;-;-;1;-;1;-;-;-;3;-;-;87;6;-;-;17;5;-;-;-;1683
"53 Distrito Federal";185;81;-;17;1;10;-;-;-;6;-;-;-;-;-;4;3;-;-;-;-;14;9;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;5;-;5;343
"Total";14880;23381;2285;2649;189;2646;878;96;65;221;22;47;56;6;4;198;54;7;219;24;5;543;356;20;47;7;4;2;1;241;87;37;176;77;21;27;64;53;37;5;1027;81;2;8;105;29;81;29;41;51140
