"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"21 EAB3SB - EQUIPE DE ATENCAO BASICA TIPO III COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"27 ESF2      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"30 ESF3      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO III";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"49 EAP";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"Total"
"32 Esp�rito Santo";288;446;2;78;13;14;11;4;-;8;-;-;-;-;-;-;-;-;7;-;-;-;-;1;1;-;-;-;-;1;-;-;1;3;-;1;2;-;-;-;1;-;-;-;-;-;-;-;-;882
"33 Rio de Janeiro";1146;893;217;105;30;141;9;1;-;2;3;-;-;-;-;36;3;-;7;-;4;54;35;-;4;-;-;-;-;123;30;24;11;1;2;2;6;9;-;-;-;4;-;-;1;-;-;-;-;2903
"35 S�o Paulo";2773;1912;209;466;54;254;38;3;-;35;12;-;-;-;-;122;19;1;100;4;1;159;72;7;15;1;4;2;-;79;30;10;100;27;10;6;10;23;4;-;82;7;-;-;3;-;13;1;3;6671
"41 Paran�";958;974;377;161;2;123;62;-;-;8;-;-;-;-;-;5;2;-;41;10;-;22;10;4;1;3;-;-;-;15;4;1;14;6;4;1;7;1;5;1;74;-;-;-;2;1;-;-;2;2901
"42 Santa Catarina";678;962;60;60;1;101;55;-;-;2;-;-;-;-;-;3;-;-;4;1;-;12;6;2;-;-;-;-;-;2;-;-;11;5;-;2;1;-;-;-;113;3;-;-;6;2;2;2;5;2101
"43 Rio Grande do Sul";970;914;55;143;1;46;21;6;-;3;2;-;-;-;-;7;22;5;16;7;-;26;8;2;7;-;-;-;-;12;8;-;10;4;-;1;4;1;27;4;73;3;-;-;7;2;19;3;4;2443
"50 Mato Grosso do Sul";27;500;17;86;5;33;19;18;-;8;-;-;-;-;-;-;-;-;1;-;-;4;5;-;-;-;-;-;-;-;1;-;2;5;-;-;2;1;1;-;12;2;-;-;20;6;8;4;-;787
"51 Mato Grosso";192;414;60;77;7;15;23;-;7;1;-;-;-;-;-;-;-;-;1;-;-;2;2;1;-;-;-;-;-;1;-;-;-;1;-;-;1;1;-;-;27;1;-;-;-;-;-;-;-;834
"52 Goi�s";357;910;98;28;6;75;36;1;-;-;-;-;-;-;-;1;-;-;-;-;-;25;25;-;1;1;-;-;-;-;-;1;-;1;-;-;-;3;-;-;88;6;-;-;17;5;-;-;-;1685
"53 Distrito Federal";189;82;-;18;1;10;-;-;-;5;-;-;-;-;-;3;3;-;-;-;-;14;9;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;5;-;5;347
"Total";14975;23397;2273;2640;187;2649;885;99;65;213;20;46;56;6;4;192;53;6;222;24;5;546;360;19;46;7;4;2;1;239;85;37;167;78;19;27;65;52;37;5;1025;81;2;8;107;29;81;28;44;51218
