"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"21 EAB3SB - EQUIPE DE ATENCAO BASICA TIPO III COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"27 ESF2      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"30 ESF3      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO III";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"49 EAP";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"Total"
"32 Esp�rito Santo";272;461;1;79;13;14;11;4;-;19;-;-;-;-;-;-;-;-;6;-;-;-;-;1;1;-;-;-;-;1;-;-;-;2;-;1;2;-;-;-;1;-;-;-;-;-;-;-;-;889
"33 Rio de Janeiro";1136;932;215;103;30;155;8;1;-;1;4;-;-;-;-;34;3;-;6;-;4;56;34;-;4;-;-;-;-;122;21;24;19;3;4;2;6;9;-;-;-;4;-;-;1;-;-;-;-;2941
"35 S�o Paulo";2723;1877;215;481;53;251;35;3;-;30;11;-;-;-;-;76;18;-;93;4;1;153;70;9;16;1;4;2;-;78;27;9;97;28;10;6;9;25;4;-;79;8;-;-;3;-;13;2;3;6527
"41 Paran�";937;974;373;169;2;125;59;-;-;3;-;-;-;-;-;5;2;-;41;9;-;20;10;2;2;3;-;-;-;15;5;2;17;5;3;1;7;1;4;1;73;-;-;-;3;1;-;-;1;2875
"42 Santa Catarina";669;962;62;61;1;98;56;-;-;2;-;-;-;-;-;-;-;-;3;1;-;11;6;2;-;-;-;-;-;1;-;-;12;5;-;2;1;-;-;-;115;3;-;-;6;1;2;3;5;2090
"43 Rio Grande do Sul";942;918;52;148;1;44;22;5;-;3;4;-;-;-;-;8;18;7;14;7;-;26;8;2;6;-;-;-;-;10;11;-;11;3;-;1;4;1;27;4;70;3;-;-;6;2;20;3;3;2414
"50 Mato Grosso do Sul";25;504;18;90;5;33;19;18;-;9;-;-;-;-;-;-;-;-;1;-;-;4;5;-;-;-;-;-;-;-;2;-;-;6;-;-;2;1;1;-;12;2;-;-;21;5;8;4;-;795
"51 Mato Grosso";175;409;61;76;7;15;23;-;7;2;-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;-;-;-;-;1;-;-;-;-;-;-;1;1;-;-;26;1;-;-;-;-;-;-;-;808
"52 Goi�s";359;896;100;24;6;73;37;1;-;-;-;-;-;-;-;1;-;-;-;-;-;24;25;-;1;1;-;-;-;-;-;-;-;1;-;-;-;3;-;-;88;6;-;-;14;5;-;-;-;1665
"53 Distrito Federal";185;81;-;16;1;10;-;-;-;5;-;-;-;-;-;3;3;-;1;-;-;14;8;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;4;-;5;339
"Total";14723;23330;2288;2660;188;2639;871;93;67;226;20;49;55;3;7;142;49;7;211;23;5;532;350;19;46;7;4;2;1;234;80;36;177;81;20;28;63;54;36;5;1016;80;2;8;101;27;80;27;39;50811
