"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"27 ESF2      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"31 ESF3SB_M1 - ESF TIPO III COM SAUDE BUCAL MODALIDADE I";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"39 ESFRSB_MII - ESF RIBEIRINHA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"49 EAP";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"Total"
"32 Esp�rito Santo";330;502;3;47;-;26;11;5;15;-;-;-;-;39;10;-;5;-;1;1;-;1;-;-;2;1;4;-;1;3;-;-;-;2;1;-;-;1;-;1;-;-;-;10;1;14;1037
"33 Rio de Janeiro";1478;1032;121;205;1;204;13;1;41;8;-;-;-;20;-;-;8;1;69;38;-;1;-;-;-;96;22;11;98;31;9;-;4;6;14;-;-;-;4;-;8;-;-;1;-;5;3550
"35 S�o Paulo";3168;2263;245;484;42;373;73;4;37;10;-;-;-;183;35;3;118;-;196;89;9;2;1;1;-;95;34;12;46;22;3;-;12;8;32;5;2;137;11;1;8;13;1;15;2;2;7797
"41 Paran�";1134;1004;301;170;2;148;81;2;10;4;-;-;-;14;2;-;43;3;21;11;2;1;-;-;-;16;4;1;12;4;3;-;4;5;3;4;1;103;2;-;-;3;1;1;1;3;3124
"42 Santa Catarina";879;1002;53;46;1;123;64;2;11;-;-;-;-;3;-;-;1;-;13;8;3;2;-;-;-;1;2;-;-;-;-;-;3;1;1;-;-;122;3;-;1;11;3;4;2;7;2372
"43 Rio Grande do Sul";1055;1031;43;139;-;72;49;8;7;4;-;-;-;19;6;1;9;1;32;11;1;2;-;-;-;14;13;2;34;12;5;-;2;4;2;12;-;110;4;-;3;6;2;24;4;7;2750
"50 Mato Grosso do Sul";44;559;14;84;-;42;21;21;18;-;-;-;-;1;-;-;1;-;9;8;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;15;3;1;1;20;8;10;4;4;891
"51 Mato Grosso";207;504;47;64;7;29;23;18;2;-;-;-;-;1;-;-;-;-;8;2;-;1;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;38;1;-;-;2;-;1;1;-;958
"52 Goi�s";393;1074;86;11;4;88;41;-;-;-;-;-;-;2;-;-;1;-;33;36;-;-;-;-;-;2;1;-;-;1;-;-;6;1;2;-;-;108;14;-;-;35;11;11;2;1;1964
"53 Distrito Federal";322;209;-;10;-;33;-;-;1;-;-;-;-;-;-;-;-;-;14;9;-;3;-;-;-;-;-;-;-;-;-;-;2;-;1;-;-;-;-;-;-;1;4;2;-;5;616
"Total";16151;26824;2143;2448;90;3552;1077;257;325;31;60;109;37;303;55;4;196;6;718;513;19;41;1;1;2;228;84;26;202;87;20;8;46;68;73;21;5;1275;158;6;34;175;49;141;59;102;57830
