"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"21 EAB3SB - EQUIPE DE ATENCAO BASICA TIPO III COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"27 ESF2      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"39 ESFRSB_MII - ESF RIBEIRINHA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"49 EAP";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"Total"
"32 Esp�rito Santo";327;434;2;72;10;21;11;5;-;7;-;-;-;-;-;17;-;-;10;-;-;-;-;-;1;-;-;-;1;5;-;5;-;-;-;1;2;-;-;-;1;-;-;-;2;-;2;-;-;936
"33 Rio de Janeiro";1482;1042;155;99;5;202;10;1;-;5;1;-;-;-;-;19;-;-;9;-;-;61;37;1;-;-;-;-;160;44;26;76;23;12;-;3;6;13;-;-;-;4;-;-;-;-;-;-;1;3497
"35 S�o Paulo";3053;2077;216;408;51;333;69;4;-;27;5;-;-;-;-;162;21;4;112;2;-;188;81;13;15;4;4;1;105;42;13;57;25;6;-;10;10;30;5;1;134;10;-;-;11;1;15;2;2;7329
"41 Paran�";1084;983;328;180;2;143;77;2;-;8;-;-;-;-;-;9;1;-;44;6;-;19;11;4;2;2;-;-;19;7;2;18;7;3;-;4;7;2;5;1;99;2;-;-;2;1;1;1;3;3089
"42 Santa Catarina";808;980;56;57;1;116;61;2;-;1;-;-;-;-;-;3;-;-;1;1;-;10;6;6;1;-;-;-;2;3;-;4;-;-;-;3;1;-;1;-;120;3;-;-;11;2;2;2;7;2271
"43 Rio Grande do Sul";1096;975;52;129;1;68;41;9;-;6;1;-;-;-;-;15;6;1;10;1;-;29;10;3;7;-;-;-;13;10;-;30;13;4;-;2;4;2;14;-;105;3;-;2;4;2;20;2;5;2695
"50 Mato Grosso do Sul";32;538;19;83;1;38;20;19;-;10;-;-;-;-;-;-;-;-;3;-;-;7;7;-;-;-;-;-;-;-;-;-;2;-;-;-;2;1;1;-;16;2;1;-;23;6;7;4;4;846
"51 Mato Grosso";209;470;52;69;7;26;24;-;14;2;-;-;-;-;-;-;-;-;-;-;-;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;38;1;-;-;1;-;-;1;-;920
"52 Goi�s";356;1021;85;18;4;89;41;1;-;-;-;-;-;-;-;-;-;-;-;-;-;29;25;1;1;-;-;-;2;1;1;-;5;-;-;3;-;5;-;-;105;7;-;-;34;7;6;1;-;1848
"53 Distrito Federal";252;161;-;7;-;13;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;14;9;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;-;-;4;2;-;5;473
"Total";16054;25388;2166;2396;126;3370;1030;118;132;276;13;47;75;2;16;251;32;6;232;13;1;636;422;33;56;6;4;1;315;125;42;216;93;25;7;38;73;69;27;6;1265;102;4;13;163;43;99;34;68;55729
