"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"21 EAB3SB - EQUIPE DE ATENCAO BASICA TIPO III COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"27 ESF2      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"39 ESFRSB_MII - ESF RIBEIRINHA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"49 EAP";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"Total"
"32 Esp�rito Santo";313;453;2;75;11;24;12;5;-;4;-;-;-;-;-;15;-;-;8;-;-;-;-;-;1;-;-;-;1;6;-;1;1;-;-;1;2;-;-;-;1;-;-;-;2;-;2;-;-;940
"33 Rio de Janeiro";1491;1053;173;77;5;192;9;1;-;2;-;-;-;-;-;20;-;-;8;-;-;61;37;2;1;-;-;-;174;56;28;54;10;3;-;1;6;13;-;-;-;4;-;1;-;-;-;-;2;3484
"35 S�o Paulo";3055;2030;227;385;50;322;65;4;-;18;3;-;-;-;-;164;22;4;126;4;-;185;81;15;10;1;3;1;130;58;16;49;15;4;-;13;10;35;5;-;130;9;-;-;11;1;15;2;2;7280
"41 Paran�";1088;970;340;162;2;134;75;1;-;5;-;-;-;-;-;8;1;-;45;5;-;21;11;5;3;3;-;-;19;3;3;19;7;4;-;4;7;2;2;1;96;1;-;-;2;1;-;1;2;3053
"42 Santa Catarina";766;996;54;55;1;117;63;2;-;1;-;-;-;-;-;4;-;-;2;1;-;10;6;3;1;-;-;-;4;4;-;5;1;-;-;3;1;-;1;-;119;3;-;-;11;2;2;2;6;2246
"43 Rio Grande do Sul";1076;962;54;131;1;72;39;9;-;6;2;-;-;-;-;12;15;1;10;1;-;29;10;3;9;-;-;-;15;14;-;31;9;2;-;2;4;2;17;-;100;3;-;2;6;2;22;2;4;2679
"50 Mato Grosso do Sul";29;553;19;75;2;38;22;19;-;3;-;-;-;-;-;-;-;-;3;-;-;6;6;-;-;-;-;-;-;3;-;-;5;-;-;-;2;1;1;-;13;2;-;-;21;7;7;4;2;843
"51 Mato Grosso";215;462;56;69;7;25;25;-;11;1;-;-;-;-;-;-;-;-;-;-;-;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;36;1;-;-;-;-;-;1;-;915
"52 Goi�s";347;997;85;19;4;86;42;1;-;-;-;-;-;-;-;-;-;-;-;-;-;27;24;1;3;-;-;-;2;1;1;-;2;-;-;5;-;2;-;-;102;7;-;-;29;7;5;1;-;1800
"53 Distrito Federal";232;112;-;5;-;11;-;-;-;-;-;-;-;-;-;1;2;-;-;2;-;14;9;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;-;-;4;2;-;5;402
"Total";16082;25204;2208;2282;136;3258;1016;121;115;144;7;39;68;2;12;245;43;6;243;15;1;616;407;32;76;5;3;1;362;163;50;179;55;13;3;42;71;72;30;4;1228;96;3;12;143;41;97;34;59;55144
