"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"21 EAB3SB - EQUIPE DE ATENCAO BASICA TIPO III COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"27 ESF2      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"39 ESFRSB_MII - ESF RIBEIRINHA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"49 EAP";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"Total"
"32 Esp�rito Santo";331;428;2;71;10;23;12;5;-;6;-;-;-;-;-;17;-;-;10;-;-;-;-;-;1;-;-;-;1;6;-;3;1;-;-;1;2;-;-;-;1;-;-;-;2;-;2;-;-;935
"33 Rio de Janeiro";1464;1053;167;109;5;202;10;1;-;8;5;-;-;-;-;20;-;-;7;-;-;56;36;2;-;-;-;-;125;31;16;96;28;13;-;2;6;13;-;-;-;4;-;1;-;-;-;-;2;3482
"35 S�o Paulo";3060;2053;208;395;50;332;67;4;-;16;5;-;-;-;-;163;22;4;123;4;-;185;81;16;14;3;4;1;114;48;15;56;18;6;-;12;12;33;5;-;135;9;-;-;11;1;15;2;2;7304
"41 Paran�";1087;983;331;169;2;145;78;2;-;5;-;-;-;-;-;9;1;-;44;6;-;21;11;5;2;2;-;-;17;7;3;17;6;6;-;4;7;2;5;1;96;1;-;-;2;1;-;1;2;3081
"42 Santa Catarina";783;990;54;52;1;118;61;2;-;1;-;-;-;-;-;4;-;-;2;1;-;10;6;4;1;-;-;-;3;3;-;5;2;-;-;3;1;-;1;-;121;3;-;-;11;2;2;2;7;2256
"43 Rio Grande do Sul";1080;966;55;131;1;68;41;9;-;7;-;-;-;-;-;11;10;1;10;1;-;30;10;3;9;-;-;-;11;13;-;37;12;4;-;2;4;2;14;-;102;3;-;2;6;2;22;2;4;2685
"50 Mato Grosso do Sul";40;527;20;78;2;35;27;19;-;12;-;-;-;-;-;-;-;-;3;-;-;6;5;-;-;-;-;-;-;1;-;-;4;-;-;-;2;1;1;-;14;2;1;-;21;7;7;4;3;842
"51 Mato Grosso";210;462;53;71;7;24;25;-;13;1;-;-;-;-;-;-;-;-;-;-;-;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;38;1;-;-;-;-;-;1;-;912
"52 Goi�s";359;1024;85;19;4;90;41;1;-;-;-;-;-;-;-;-;-;-;-;-;-;29;26;1;3;-;-;-;2;1;1;-;3;-;-;5;-;3;-;-;102;8;-;-;33;7;6;1;-;1854
"53 Distrito Federal";231;141;-;7;-;13;-;-;-;1;-;-;-;-;-;1;2;-;-;2;-;14;9;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;-;-;4;2;-;5;435
"Total";15969;25247;2168;2391;130;3338;1042;122;117;282;14;40;69;3;13;248;38;6;243;17;1;634;419;35;58;6;4;1;291;131;35;239;90;29;3;42;75;70;28;5;1252;100;4;15;149;43;101;33;62;55452
