"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"27 ESF2      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"39 ESFRSB_MII - ESF RIBEIRINHA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"49 EAP";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"Total"
"32 Esp�rito Santo";310;432;3;81;10;26;12;5;-;9;-;-;-;-;-;16;-;-;10;-;-;-;-;1;-;-;-;1;5;-;8;-;-;-;1;2;-;-;-;1;-;-;-;2;-;2;-;-;937
"33 Rio de Janeiro";1446;1024;149;154;5;205;10;1;-;6;4;-;-;-;-;19;-;-;6;-;68;39;1;-;-;-;-;144;38;15;100;25;9;-;4;5;14;-;-;-;4;-;-;-;-;-;-;2;3497
"35 S�o Paulo";2958;2097;201;452;50;318;72;4;-;30;9;-;-;-;-;170;22;4;111;-;189;83;15;10;1;4;1;101;39;12;51;24;4;-;11;10;28;5;1;139;12;1;1;12;1;15;2;2;7272
"41 Paran�";1085;983;311;169;3;143;79;2;-;9;2;-;-;-;-;9;1;-;41;5;20;11;2;-;-;-;-;19;5;2;12;4;1;-;4;5;3;5;-;100;2;-;-;2;1;1;1;3;3045
"42 Santa Catarina";831;972;56;58;1;119;61;2;-;1;-;-;-;-;-;2;-;-;1;-;10;6;8;-;-;-;-;2;2;-;5;2;-;-;3;1;1;-;-;123;3;1;-;11;2;2;2;6;2294
"43 Rio Grande do Sul";1075;973;49;137;1;71;48;7;-;13;2;-;-;-;-;18;6;1;9;1;33;11;3;4;-;-;-;17;9;-;27;12;4;-;2;4;2;13;-;107;3;-;2;6;2;22;2;5;2701
"50 Mato Grosso do Sul";39;548;20;82;1;39;23;18;-;7;-;-;-;-;-;-;-;-;2;-;7;7;-;-;-;-;-;-;-;-;-;1;-;-;-;2;1;1;-;13;2;1;-;22;6;7;4;3;856
"51 Mato Grosso";212;479;48;67;7;29;26;-;12;2;-;-;-;-;-;1;-;-;-;-;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;40;1;-;-;2;-;-;1;-;933
"52 Goi�s";353;1036;84;18;4;94;41;1;-;-;-;-;-;-;-;1;-;-;-;-;30;26;1;1;-;-;-;1;-;-;1;3;-;-;4;-;4;-;-;108;7;-;-;36;9;8;1;-;1872
"53 Distrito Federal";327;196;-;9;-;28;-;-;-;2;-;-;-;-;-;1;-;-;-;-;13;9;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;-;-;4;2;-;5;599
"Total";15825;25433;2125;2602;126;3461;1062;114;107;429;22;54;91;1;18;255;31;6;197;10;660;442;34;39;1;4;1;294;106;29;222;85;18;8;42;69;70;26;4;1274;114;7;13;170;44;109;37;70;55961
