"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"21 EAB3SB - EQUIPE DE ATENCAO BASICA TIPO III COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"27 ESF2      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"39 ESFRSB_MII - ESF RIBEIRINHA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"49 EAP";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"Total"
"32 Esp�rito Santo";333;437;2;67;11;24;12;5;-;4;-;-;-;-;-;16;-;-;10;-;-;-;-;-;1;-;-;-;1;7;-;2;-;-;-;1;2;-;-;-;1;-;-;-;2;-;2;-;-;940
"33 Rio de Janeiro";1487;1061;175;79;5;195;10;1;-;2;1;-;-;-;-;20;-;-;7;-;-;60;36;3;-;-;-;-;166;45;21;55;18;7;-;2;6;13;-;-;-;4;-;1;-;-;-;-;2;3482
"35 S�o Paulo";3059;2027;225;380;50;324;69;4;-;12;3;-;-;-;-;166;22;4;119;4;-;188;81;13;10;1;3;1;125;56;18;52;14;2;-;13;10;34;5;-;130;9;-;-;11;1;15;2;2;7264
"41 Paran�";1100;971;336;162;2;137;76;2;-;5;-;-;-;-;-;8;1;-;45;5;-;21;11;7;3;2;-;-;20;3;4;16;7;5;-;4;7;2;4;1;95;1;-;-;2;1;-;1;2;3069
"42 Santa Catarina";771;990;54;54;1;116;62;2;-;1;-;-;-;-;-;4;-;-;2;1;-;10;6;3;1;-;-;-;3;4;-;5;1;-;-;3;1;-;1;-;117;3;-;-;11;2;2;2;7;2240
"43 Rio Grande do Sul";1074;965;52;132;1;72;41;9;-;8;3;-;-;-;-;12;13;1;10;1;-;25;10;3;9;-;-;-;13;14;-;36;9;2;-;2;4;2;16;-;99;3;-;2;6;2;22;2;4;2679
"50 Mato Grosso do Sul";34;549;20;75;2;32;28;19;-;3;-;-;-;-;-;-;-;-;3;-;-;7;6;-;-;-;-;-;-;2;-;-;6;-;-;-;2;1;1;-;14;2;-;-;21;7;7;4;2;847
"51 Mato Grosso";211;465;56;71;7;25;25;-;13;2;-;-;-;-;-;-;-;-;-;-;-;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;36;1;-;-;-;-;-;1;-;919
"52 Goi�s";346;1015;85;18;4;89;41;1;-;-;-;-;-;-;-;-;-;-;-;-;-;27;25;1;3;-;-;-;2;1;1;-;1;-;-;5;-;2;-;-;104;8;-;-;31;7;5;1;-;1823
"53 Distrito Federal";238;112;-;6;-;12;-;-;-;-;-;-;-;-;-;1;2;-;-;2;-;14;9;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;-;-;4;2;-;5;410
"Total";16105;25262;2205;2260;136;3283;1029;122;118;156;8;38;68;3;12;248;41;6;239;15;1;625;412;33;64;4;3;1;346;152;45;191;66;16;3;43;72;71;30;4;1225;100;3;14;144;42;97;34;59;55254
