"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"21 EAB3SB - EQUIPE DE ATENCAO BASICA TIPO III COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"27 ESF2      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"39 ESFRSB_MII - ESF RIBEIRINHA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"49 EAP";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"Total"
"32 Esp�rito Santo";330;425;2;71;10;22;12;5;-;8;-;-;-;-;-;17;-;-;10;-;-;-;-;-;1;-;-;-;1;6;-;4;-;-;-;1;2;-;-;-;1;-;-;-;2;-;2;-;-;932
"33 Rio de Janeiro";1492;1048;159;83;5;203;10;1;-;2;-;-;-;-;-;20;-;-;7;-;-;59;36;2;-;-;-;-;127;28;19;112;37;15;-;2;6;13;-;-;-;4;-;1;-;-;-;-;2;3493
"35 S�o Paulo";3038;2054;207;407;50;330;68;4;-;19;5;-;-;-;-;164;22;4;121;4;-;187;81;15;15;3;4;1;115;47;13;54;21;5;-;10;10;30;5;-;135;9;-;-;11;1;15;2;2;7288
"41 Paran�";1086;976;331;170;2;144;78;2;-;5;-;-;-;-;-;9;1;-;44;6;-;21;11;5;2;2;-;-;19;8;3;19;5;6;-;4;7;2;5;1;96;1;-;-;2;1;-;1;2;3077
"42 Santa Catarina";793;984;53;53;1;115;61;2;-;1;-;-;-;-;-;4;-;-;2;1;-;10;6;4;1;-;-;-;3;3;-;5;2;-;-;3;1;-;1;-;121;3;-;-;11;2;2;2;7;2257
"43 Rio Grande do Sul";1078;970;55;130;1;68;41;9;-;6;-;-;-;-;-;13;8;1;10;1;-;30;10;3;8;-;-;-;12;13;-;33;14;4;-;2;4;2;14;-;103;3;-;2;5;2;22;2;4;2683
"50 Mato Grosso do Sul";38;528;20;78;2;32;27;19;-;12;-;-;-;-;-;-;-;-;3;-;-;6;5;-;-;-;-;-;-;1;-;-;2;-;-;-;2;1;1;-;14;2;1;-;21;7;7;4;3;836
"51 Mato Grosso";210;463;54;71;7;26;24;-;13;1;-;-;-;-;-;-;-;-;-;-;-;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;37;1;-;-;-;-;-;1;-;914
"52 Goi�s";360;1023;84;19;4;90;41;1;-;-;-;-;-;-;-;-;-;-;-;-;-;28;25;1;1;-;-;-;2;1;1;-;2;-;-;5;-;3;-;-;103;8;-;-;34;6;6;1;-;1849
"53 Distrito Federal";224;148;-;6;-;13;-;-;-;1;-;-;-;-;-;1;2;-;-;2;-;14;9;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;-;-;4;2;-;5;434
"Total";15977;25214;2163;2388;129;3332;1046;122;116;321;13;44;70;2;14;251;35;6;243;18;1;629;413;35;57;6;4;1;295;127;36;250;99;30;3;39;73;67;28;5;1258;101;4;15;154;41;100;34;65;55474
