"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"21 EAB3SB - EQUIPE DE ATENCAO BASICA TIPO III COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"27 ESF2      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"39 ESFRSB_MII - ESF RIBEIRINHA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"49 EAP";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"Total"
"32 Esp�rito Santo";334;428;2;70;10;22;11;5;-;9;-;-;-;-;-;17;-;-;10;-;-;-;-;-;1;-;-;-;1;5;-;4;-;-;-;1;2;-;-;-;1;-;-;-;2;-;2;-;-;937
"33 Rio de Janeiro";1499;1047;156;85;5;203;10;1;-;4;-;-;-;-;-;20;-;-;8;-;-;61;37;2;-;-;-;-;123;36;22;107;29;13;-;3;6;13;-;-;-;4;-;-;-;-;-;-;2;3496
"35 S�o Paulo";3077;2069;212;405;51;338;68;4;-;20;6;-;-;-;-;160;22;4;110;3;-;186;81;14;16;2;4;1;110;46;12;59;20;5;-;10;10;30;5;1;134;10;-;-;11;1;15;2;2;7336
"41 Paran�";1082;981;331;178;2;143;78;2;-;5;-;-;-;-;-;9;1;-;44;6;-;20;11;3;2;2;-;-;21;6;2;18;8;5;-;4;7;2;5;1;98;1;-;-;2;1;-;1;2;3084
"42 Santa Catarina";808;976;55;50;1;114;63;2;-;1;-;-;-;-;-;3;-;-;1;1;-;10;6;4;2;-;-;-;2;3;-;6;2;-;-;3;1;-;1;-;118;3;-;-;11;2;2;2;7;2260
"43 Rio Grande do Sul";1092;967;54;131;1;68;42;9;-;5;-;-;-;-;-;14;7;1;10;1;-;30;10;3;7;-;-;-;12;11;-;30;14;4;-;2;4;2;14;-;103;3;-;2;4;2;20;2;5;2686
"50 Mato Grosso do Sul";32;534;19;81;1;37;20;19;-;13;-;-;-;-;-;-;-;-;3;-;-;7;7;-;-;-;-;-;-;-;-;-;3;-;-;-;2;1;1;-;16;2;1;-;23;6;7;4;4;843
"51 Mato Grosso";207;467;52;72;7;26;24;-;14;2;-;-;-;-;-;-;-;-;-;-;-;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;38;1;-;-;-;-;-;1;-;917
"52 Goi�s";363;1018;84;19;4;88;41;1;-;-;-;-;-;-;-;-;-;-;-;-;-;28;25;1;1;-;-;-;2;1;1;-;2;-;-;3;-;5;-;-;105;8;-;-;33;6;6;1;-;1846
"53 Distrito Federal";215;149;-;7;-;13;-;-;-;1;-;-;-;-;-;1;2;-;-;-;-;14;9;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;-;-;4;2;-;5;425
"Total";16059;25292;2150;2380;126;3349;1035;121;129;285;14;47;73;2;14;249;34;6;229;14;1;628;414;32;58;5;4;1;285;119;37;250;96;27;5;38;73;69;28;6;1259;102;4;13;159;42;97;34;67;55561
