"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"27 ESF2      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"39 ESFRSB_MII - ESF RIBEIRINHA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"49 EAP";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"Total"
"32 Esp�rito Santo";324;435;3;71;9;25;12;5;-;8;-;-;-;-;-;16;-;-;10;-;-;-;-;1;-;-;-;1;5;-;5;-;-;-;1;2;-;-;-;1;-;-;-;2;-;2;-;-;938
"33 Rio de Janeiro";1442;1033;156;148;5;207;10;1;-;9;2;-;-;-;-;19;-;-;7;-;67;39;1;-;-;-;-;142;36;25;102;22;2;-;4;7;12;-;-;-;4;-;-;-;-;-;-;2;3504
"35 S�o Paulo";3091;2101;218;433;50;342;72;4;-;26;6;-;-;-;-;171;22;4;111;-;189;83;15;13;3;4;1;105;42;15;52;29;4;-;11;10;30;5;1;139;12;1;1;11;1;15;2;2;7447
"41 Paran�";1105;987;314;162;3;144;79;2;-;6;2;-;-;-;-;9;1;-;41;5;20;11;3;1;-;-;-;19;7;2;13;3;1;-;4;5;3;5;-;100;2;-;-;2;1;1;1;3;3067
"42 Santa Catarina";822;974;56;57;1;116;62;2;-;-;-;-;-;-;-;2;-;-;1;-;10;6;8;-;-;-;-;2;3;-;5;-;-;-;3;1;-;-;-;123;3;1;-;11;2;2;2;6;2281
"43 Rio Grande do Sul";1091;986;52;133;1;70;46;7;-;7;1;-;-;-;-;17;6;1;9;1;30;10;3;7;-;-;-;14;9;-;27;10;3;-;2;4;2;13;-;108;3;-;2;6;2;22;2;5;2712
"50 Mato Grosso do Sul";35;540;20;82;1;39;22;18;-;12;-;-;-;-;-;-;-;-;2;-;7;7;-;-;-;-;-;-;-;-;-;2;-;-;-;2;1;1;-;13;2;1;-;22;6;7;4;3;849
"51 Mato Grosso";212;477;49;66;7;28;26;-;15;2;-;-;-;-;-;1;-;-;-;-;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;40;1;-;-;2;-;-;1;-;933
"52 Goi�s";357;1029;84;18;4;92;40;1;-;-;-;-;-;-;-;1;-;-;-;-;30;26;1;1;-;-;-;1;-;1;1;6;-;-;4;-;4;-;-;107;7;-;-;36;9;8;1;-;1869
"53 Distrito Federal";327;193;-;9;-;28;-;-;-;2;-;-;-;-;-;1;-;-;-;-;13;9;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;-;-;4;2;-;5;596
"Total";16033;25518;2144;2498;126;3477;1059;114;122;345;17;54;94;1;18;254;31;6;198;10;653;437;35;49;3;4;1;293;111;43;229;86;10;8;42;71;69;26;4;1276;109;6;13;166;44;108;37;71;56123
