"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"27 ESF2      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"39 ESFRSB_MII - ESF RIBEIRINHA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"49 EAP";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"Total"
"32 Esp�rito Santo";284;420;4;102;11;20;9;5;-;8;-;-;-;-;-;-;-;-;7;-;-;-;1;1;-;-;-;1;7;-;3;1;-;-;1;2;-;2;-;1;-;-;-;2;-;2;-;-;894
"33 Rio de Janeiro";1410;981;221;109;30;165;10;1;-;4;-;-;-;-;-;27;-;-;4;-;58;36;-;3;-;-;-;184;44;38;25;4;7;-;2;6;12;-;-;1;4;-;1;1;-;-;-;-;3388
"35 S�o Paulo";2922;1945;213;437;52;299;47;4;-;22;9;-;-;-;-;137;24;4;96;4;178;78;12;10;1;2;1;125;53;18;52;23;6;-;8;10;25;4;-;100;7;-;-;9;1;14;2;3;6957
"41 Paran�";1019;951;347;172;2;123;62;2;-;12;1;-;-;-;-;7;2;-;43;7;20;11;4;3;4;-;-;16;5;1;21;6;3;-;4;7;2;2;1;87;1;-;-;2;1;-;1;2;2954
"42 Santa Catarina";747;966;56;58;1;102;61;2;-;5;-;-;-;-;-;3;-;-;2;1;10;6;3;-;-;-;-;3;3;-;4;2;-;-;3;1;-;-;-;116;3;-;-;10;2;2;2;5;2179
"43 Rio Grande do Sul";1008;925;49;145;1;49;27;8;-;4;8;-;-;-;-;10;15;3;10;5;30;10;2;9;-;-;-;11;11;-;38;15;2;-;1;4;1;21;-;83;2;-;2;6;2;22;2;4;2545
"50 Mato Grosso do Sul";30;513;17;77;5;33;20;18;-;9;-;-;-;-;-;-;-;-;1;-;5;6;-;-;-;-;-;-;2;-;-;4;-;-;-;2;1;1;-;13;2;-;-;19;7;8;3;1;797
"51 Mato Grosso";205;439;58;75;7;18;24;-;8;3;-;-;-;-;-;-;-;-;-;-;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;31;1;-;-;-;-;-;1;-;876
"52 Goi�s";357;933;91;26;4;75;42;1;-;-;-;-;-;-;-;1;-;-;-;-;28;26;3;1;-;-;-;-;1;1;-;1;-;-;-;-;3;-;-;89;7;-;-;21;6;1;1;-;1719
"53 Distrito Federal";223;96;-;8;-;14;-;-;-;1;-;-;-;-;-;1;4;-;-;2;14;9;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;-;-;-;-;-;-;-;3;2;-;5;385
"Total";15670;23868;2180;2647;172;2845;946;120;101;232;23;36;60;2;10;206;48;7;207;20;595;402;31;78;7;2;2;350;141;59;165;67;18;2;31;68;60;33;1;1113;92;3;12;129;39;84;30;55;53069
