"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"27 ESF2      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"39 ESFRSB_MII - ESF RIBEIRINHA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"49 EAP";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"Total"
"32 Esp�rito Santo";288;412;4;111;11;18;11;5;-;7;-;-;-;-;-;-;-;-;6;-;-;-;1;1;-;-;-;2;7;-;2;1;-;-;1;2;-;2;-;1;-;-;-;2;-;1;-;-;896
"33 Rio de Janeiro";1408;978;214;113;30;159;10;1;-;10;1;-;-;-;-;26;-;-;4;-;58;36;-;3;-;-;-;166;40;37;33;6;5;-;2;6;11;-;-;1;4;-;1;1;-;-;-;-;3364
"35 S�o Paulo";2916;1953;212;435;51;292;45;4;-;23;12;-;-;-;-;139;24;4;97;4;180;78;12;10;1;2;1;124;53;16;56;23;9;-;8;11;24;4;-;98;7;-;-;9;1;14;2;3;6957
"41 Paran�";1015;954;348;173;2;123;62;2;-;14;2;-;-;-;-;8;2;-;42;7;21;11;5;3;4;-;-;12;2;1;21;6;3;-;4;7;1;2;1;87;1;-;-;1;1;-;1;2;2951
"42 Santa Catarina";749;964;54;58;1;103;58;2;-;5;-;-;-;-;-;3;-;-;3;1;10;6;2;-;-;-;-;4;1;-;4;2;-;-;3;1;-;-;-;115;3;-;-;9;2;2;2;6;2173
"43 Rio Grande do Sul";1007;915;47;146;1;50;26;7;-;6;8;-;-;-;-;7;15;3;13;5;30;10;2;8;-;1;-;12;10;-;36;15;2;-;1;4;1;21;-;81;2;-;2;6;2;21;2;4;2529
"50 Mato Grosso do Sul";30;513;17;79;5;33;20;18;-;7;-;-;-;-;-;-;-;-;1;-;5;6;-;-;-;-;-;-;2;-;-;4;-;-;-;2;1;1;-;12;2;-;-;19;7;8;4;1;797
"51 Mato Grosso";205;431;57;73;6;18;23;-;8;4;-;-;-;-;-;-;-;-;-;-;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;30;1;-;-;-;-;-;1;-;863
"52 Goi�s";353;934;90;26;4;74;39;1;-;-;-;-;-;-;-;1;-;-;-;-;28;26;1;1;-;-;-;-;1;1;-;1;-;-;-;-;3;-;-;88;7;-;-;18;6;1;1;-;1705
"53 Distrito Federal";220;94;-;9;-;14;-;-;-;2;-;-;-;-;-;1;5;-;-;2;14;9;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;-;-;-;-;-;-;-;3;2;-;5;383
"Total";15646;23690;2184;2704;171;2799;927;116;99;276;30;42;60;2;9;204;50;7;211;20;596;400;30;78;6;3;1;328;127;56;175;70;19;2;32;67;57;32;1;1096;92;3;12;123;37;86;26;50;52852
