"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"27 ESF2      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"39 ESFRSB_MII - ESF RIBEIRINHA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"49 EAP";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"Total"
"32 Esp�rito Santo";296;433;1;93;11;18;11;5;-;9;-;-;-;-;-;-;-;-;7;-;-;-;1;1;-;-;-;1;3;-;1;2;-;-;1;2;-;-;-;1;-;-;-;2;-;-;-;-;899
"33 Rio de Janeiro";1372;961;221;121;29;159;10;1;-;10;2;-;-;-;-;29;-;-;4;-;56;35;-;3;-;-;-;197;46;39;34;8;6;-;2;6;10;-;-;1;4;-;-;1;-;-;-;-;3367
"35 S�o Paulo";2890;1948;208;448;53;262;42;4;-;16;7;-;-;-;-;124;20;-;101;3;178;76;10;15;3;2;1;111;48;15;59;26;8;-;7;12;24;4;-;90;7;-;-;9;1;13;2;3;6850
"41 Paran�";978;976;357;154;2;123;65;-;-;14;1;-;-;-;-;7;4;-;44;6;21;10;7;2;3;-;-;16;4;2;21;6;4;-;3;7;1;2;1;79;-;-;-;2;1;1;1;1;2926
"42 Santa Catarina";728;950;56;55;1;101;55;2;-;5;-;-;-;-;-;3;-;-;5;1;9;6;2;-;-;-;-;4;-;-;4;4;-;-;3;1;-;-;-;112;3;-;-;9;2;2;2;6;2131
"43 Rio Grande do Sul";982;926;51;151;1;47;24;7;-;6;4;-;-;-;-;8;15;3;12;5;30;10;3;6;-;1;-;7;7;-;39;7;3;-;1;4;1;21;-;77;2;-;2;6;2;20;3;4;2498
"50 Mato Grosso do Sul";32;495;16;80;5;33;20;19;-;10;-;-;-;-;-;-;-;-;1;-;5;6;-;-;-;-;-;-;2;-;-;5;-;-;-;2;1;1;-;12;2;-;-;19;8;7;4;1;786
"51 Mato Grosso";201;428;57;74;7;17;22;-;9;2;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;29;1;-;-;-;-;-;-;-;852
"52 Goi�s";367;926;90;28;5;74;37;1;-;-;-;-;-;-;-;1;-;-;-;-;26;25;1;1;-;-;-;-;-;1;-;1;-;-;-;-;3;-;-;87;7;-;-;15;4;1;1;-;1702
"53 Distrito Federal";184;93;-;10;-;11;-;-;-;4;-;-;-;-;-;3;5;-;-;2;14;9;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;-;-;-;-;-;-;-;3;2;-;5;348
"Total";15587;23403;2210;2702;177;2720;897;113;115;260;23;43;57;2;9;194;49;3;219;18;574;374;30;59;6;3;1;342;118;58;183;66;21;2;30;68;58;30;1;1056;83;3;11;122;34;78;25;45;52282
