"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"27 ESF2      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"39 ESFRSB_MII - ESF RIBEIRINHA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"49 EAP";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"Total"
"32 Esp�rito Santo";291;430;1;99;11;18;12;5;-;9;-;-;-;-;-;-;-;-;7;-;-;-;1;1;-;-;-;1;6;-;2;2;-;-;1;2;-;1;-;1;-;-;-;2;-;-;-;-;903
"33 Rio de Janeiro";1362;952;229;138;29;161;10;1;-;18;3;-;-;-;-;28;-;-;4;-;59;36;-;3;-;-;-;165;37;34;46;9;4;-;2;6;11;-;-;1;4;-;1;1;-;-;-;-;3354
"35 S�o Paulo";2898;1957;201;442;52;284;42;4;-;19;7;-;-;-;-;129;20;-;97;4;178;77;10;14;3;2;1;111;47;15;69;28;10;-;7;12;23;4;-;93;7;-;-;9;1;13;2;3;6895
"41 Paran�";1007;948;352;159;2;123;63;1;-;11;1;-;-;-;-;8;4;-;42;8;21;11;7;3;5;-;-;14;3;2;22;6;3;-;3;7;2;2;1;84;1;-;-;2;1;1;1;1;2932
"42 Santa Catarina";731;962;54;57;1;102;56;2;-;5;-;-;-;-;-;3;-;-;5;1;9;6;2;-;-;-;-;4;-;-;4;2;-;-;3;1;-;-;-;113;3;-;-;9;2;2;2;6;2147
"43 Rio Grande do Sul";988;928;49;151;1;48;24;7;-;5;4;-;-;-;-;8;15;3;12;5;30;10;2;6;-;1;-;7;8;-;38;7;3;-;1;4;1;21;-;78;2;-;2;5;2;20;2;4;2502
"50 Mato Grosso do Sul";33;498;17;74;5;32;20;19;-;7;-;-;-;-;-;-;-;-;1;-;5;6;-;-;-;-;-;-;2;-;-;5;-;-;-;2;1;1;-;12;2;-;-;19;7;7;4;1;780
"51 Mato Grosso";204;428;57;71;7;16;22;-;10;3;-;-;-;-;-;-;-;-;-;-;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;30;1;-;-;-;-;-;-;-;855
"52 Goi�s";358;938;91;27;5;75;38;1;-;-;-;-;-;-;-;1;-;-;-;-;28;26;1;1;-;-;-;-;-;1;-;1;-;-;-;-;3;-;-;90;7;-;-;16;4;1;1;-;1714
"53 Distrito Federal";193;93;-;9;-;12;-;-;-;4;-;-;-;-;-;3;5;-;-;2;14;9;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;-;-;-;-;-;-;-;3;2;-;5;357
"Total";15604;23523;2194;2731;174;2775;908;117;122;289;25;44;57;2;9;199;49;3;213;21;590;391;29;61;8;3;1;309;110;54;203;69;20;2;30;69;58;33;1;1079;91;3;12;121;33;82;23;49;52593
