"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"21 EAB3SB - EQUIPE DE ATENCAO BASICA TIPO III COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"27 ESF2      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"39 ESFRSB_MII - ESF RIBEIRINHA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"49 EAP";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"Total"
"32 Esp�rito Santo";298;444;1;86;11;23;11;5;-;9;-;-;-;-;-;-;-;-;7;-;-;-;-;-;1;-;-;-;1;8;-;2;3;-;-;1;2;-;-;-;1;-;-;-;2;-;2;-;-;918
"33 Rio de Janeiro";1437;1003;188;100;30;173;7;1;-;3;-;-;-;-;-;20;-;-;9;-;-;58;35;-;2;-;-;-;195;52;33;30;2;3;-;2;6;11;-;-;1;4;-;1;1;-;-;-;-;3407
"35 S�o Paulo";2980;1970;229;414;52;317;55;4;-;22;4;-;-;-;-;147;22;4;109;4;-;188;79;16;14;1;3;1;134;51;16;52;16;4;-;13;10;33;4;-;114;9;-;-;9;1;14;2;2;7119
"41 Paran�";1048;955;341;161;2;126;71;2;-;6;1;-;-;-;-;8;1;-;45;5;-;21;11;8;4;2;-;-;21;3;2;18;7;2;-;4;7;2;2;2;91;1;-;-;2;1;-;1;2;2986
"42 Santa Catarina";743;981;54;58;1;107;65;2;-;1;-;-;-;-;-;3;-;-;2;1;-;10;6;3;1;-;-;-;2;2;-;4;4;-;-;3;1;-;-;-;115;3;-;-;11;2;2;2;6;2195
"43 Rio Grande do Sul";1021;952;51;139;1;52;32;9;-;5;3;-;-;-;-;10;15;2;11;3;-;29;10;3;9;-;-;-;15;16;-;31;8;2;-;2;4;1;20;-;91;3;-;2;6;2;22;2;4;2588
"50 Mato Grosso do Sul";27;514;19;87;4;31;21;19;-;5;-;-;-;-;-;-;-;-;1;-;-;5;6;-;-;-;-;-;-;3;-;-;7;-;-;-;2;1;1;-;14;2;-;-;20;6;7;4;1;807
"51 Mato Grosso";210;454;59;73;7;22;26;-;11;1;-;-;-;-;-;-;-;-;-;-;-;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;31;1;-;-;-;-;-;1;-;902
"52 Goi�s";341;970;86;22;4;82;42;1;-;-;-;-;-;-;-;-;-;-;-;-;-;27;25;1;3;-;-;-;2;1;1;-;1;-;-;-;-;3;-;-;97;7;-;-;24;7;3;1;-;1751
"53 Distrito Federal";216;107;-;10;-;13;-;-;-;-;-;-;-;-;-;1;3;-;-;2;-;14;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;4;2;-;5;388
"Total";15750;24433;2194;2476;169;3015;981;122;115;194;12;41;62;2;12;209;44;6;228;16;1;613;400;35;83;4;3;2;384;153;54;155;53;11;2;35;68;68;28;2;1172;94;3;12;134;41;90;33;54;53868
