"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"21 EAB3SB - EQUIPE DE ATENCAO BASICA TIPO III COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"27 ESF2      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"39 ESFRSB_MII - ESF RIBEIRINHA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"49 EAP";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"Total"
"32 Esp�rito Santo";299;447;2;84;11;24;10;5;-;6;-;-;-;-;-;-;-;-;7;-;-;-;-;-;1;-;-;-;-;4;-;2;2;-;-;1;2;-;-;-;1;-;-;-;2;-;2;-;-;912
"33 Rio de Janeiro";1446;1008;180;102;30;180;8;1;-;4;-;-;-;-;-;20;-;-;8;-;-;58;35;-;2;-;-;-;183;50;30;38;8;6;-;2;6;12;-;-;1;4;-;1;1;-;-;-;-;3424
"35 S�o Paulo";3004;2002;224;399;52;314;61;4;-;19;4;-;-;-;-;159;22;4;124;5;-;187;81;15;10;1;3;1;131;53;15;56;17;4;-;13;10;33;4;-;121;9;-;-;11;1;15;2;2;7192
"41 Paran�";1059;955;340;157;2;129;71;1;-;5;1;-;-;-;-;8;1;-;45;5;-;21;11;6;4;3;-;-;21;2;2;19;6;3;-;4;7;2;2;2;91;1;-;-;2;1;-;1;2;2992
"42 Santa Catarina";742;981;54;58;1;108;65;2;-;1;-;-;-;-;-;3;-;-;2;1;-;10;6;3;1;-;-;-;3;3;-;4;4;-;-;3;1;-;-;-;116;3;-;-;11;2;2;2;6;2198
"43 Rio Grande do Sul";1038;951;53;138;1;61;36;9;-;8;2;-;-;-;-;12;16;2;10;2;-;29;10;3;9;-;-;-;14;14;-;30;8;2;-;2;4;1;19;-;93;3;-;2;6;2;22;2;4;2618
"50 Mato Grosso do Sul";29;515;19;87;4;33;22;19;-;4;-;-;-;-;-;-;-;-;1;-;-;5;6;-;-;-;-;-;-;3;-;-;6;-;-;-;2;1;1;-;13;2;-;-;21;6;7;4;1;811
"51 Mato Grosso";212;463;56;70;7;24;26;-;11;1;-;-;-;-;-;-;-;-;-;-;-;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;35;1;-;-;-;-;-;1;-;913
"52 Goi�s";342;977;86;20;4;84;43;1;-;-;-;-;-;-;-;-;-;-;-;-;-;27;24;1;3;-;-;-;2;1;1;-;2;-;-;-;-;3;-;-;100;7;-;-;27;7;5;1;-;1768
"53 Distrito Federal";220;105;-;8;-;9;-;-;-;-;-;-;-;-;-;1;2;-;-;2;-;14;9;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;-;-;4;2;-;5;384
"Total";15843;24595;2187;2418;167;3080;996;121;125;200;9;40;63;2;12;224;44;6;238;17;2;611;400;31;78;5;3;1;371;148;50;168;54;15;3;35;69;69;28;3;1190;95;3;12;143;40;97;34;57;54202
