"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"27 ESF2      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"39 ESFRSB_MII - ESF RIBEIRINHA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"49 EAP";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"Total"
"32 Esp�rito Santo";291;422;1;101;11;18;12;5;-;8;-;-;-;-;-;-;-;-;7;-;-;-;1;1;-;-;-;-;6;-;2;2;-;-;1;2;-;1;-;1;-;-;-;2;-;1;-;-;896
"33 Rio de Janeiro";1386;957;233;127;29;163;10;1;-;10;1;-;-;-;-;26;-;-;4;-;59;36;-;3;-;-;-;151;33;34;50;16;3;-;1;6;12;-;-;1;4;-;1;1;-;-;-;-;3358
"35 S�o Paulo";2922;1951;204;436;52;283;43;4;-;21;9;-;-;-;-;130;21;-;99;4;180;77;12;13;1;2;1;115;53;17;65;27;6;-;7;12;24;4;1;93;7;-;-;9;1;13;2;3;6924
"41 Paran�";1017;950;351;162;2;124;62;1;-;10;2;-;-;-;-;8;4;-;42;8;21;11;6;3;4;-;-;14;3;1;22;7;3;-;4;7;1;2;1;84;1;-;-;2;1;1;1;1;2944
"42 Santa Catarina";746;965;55;57;1;103;56;2;-;5;-;-;-;-;-;3;-;-;3;1;9;6;2;-;-;-;-;4;-;-;4;2;-;-;3;1;-;-;-;113;3;-;-;9;2;2;2;6;2165
"43 Rio Grande do Sul";1002;930;49;147;1;49;24;7;-;5;5;-;-;-;-;7;15;3;12;5;31;10;2;7;-;1;-;7;8;-;35;6;2;-;1;4;1;21;-;76;2;-;2;5;2;20;2;4;2510
"50 Mato Grosso do Sul";31;498;18;79;5;32;20;18;-;8;-;-;-;-;-;-;-;-;1;-;5;6;-;-;-;-;-;-;1;-;-;6;-;-;-;2;1;1;-;12;2;-;-;19;7;8;4;1;785
"51 Mato Grosso";200;433;56;73;6;17;22;-;11;3;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;31;1;-;-;-;-;-;1;-;858
"52 Goi�s";360;924;90;27;5;75;38;1;-;-;-;-;-;-;-;1;-;-;-;-;28;26;1;1;-;-;-;-;-;1;-;1;1;-;-;-;3;-;-;89;7;-;-;16;5;1;1;-;1702
"53 Distrito Federal";210;93;-;11;-;13;-;-;-;4;-;-;-;-;-;3;5;-;-;2;14;9;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;-;-;-;-;-;-;-;3;2;-;5;377
"Total";15657;23481;2199;2747;172;2786;917;114;103;304;26;42;59;2;9;197;49;3;213;21;596;393;30;81;5;3;1;298;115;55;199;79;15;2;30;68;58;31;2;1078;91;3;12;124;33;84;25;49;52661
