"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"27 ESF2      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"39 ESFRSB_MII - ESF RIBEIRINHA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"49 EAP";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"Total"
"32 Esp�rito Santo";288;422;2;100;11;21;10;5;-;12;-;-;-;-;-;-;-;-;7;-;-;-;-;1;-;-;-;1;8;-;2;2;-;-;1;2;-;2;-;1;-;-;-;2;-;2;-;-;902
"33 Rio de Janeiro";1399;995;220;105;30;164;10;1;-;2;-;-;-;-;-;26;-;-;5;-;57;35;-;2;-;-;-;193;44;41;20;5;5;-;2;7;11;-;-;1;4;-;1;1;-;-;-;-;3386
"35 S�o Paulo";2926;1954;216;447;52;302;50;3;-;32;9;-;-;-;-;137;24;4;99;4;181;78;13;10;1;2;1;132;56;16;44;18;6;-;9;8;28;4;-;104;8;-;-;9;1;14;2;3;7007
"41 Paran�";1030;948;344;169;2;124;66;2;-;11;2;-;-;-;-;7;2;-;44;6;21;11;6;5;3;-;-;19;6;1;25;6;3;-;4;7;2;2;1;89;1;-;-;2;1;-;1;2;2975
"42 Santa Catarina";744;968;57;58;1;103;60;2;-;3;-;-;-;-;-;3;-;-;2;1;10;6;3;1;-;-;-;2;3;-;4;2;-;-;3;1;-;-;-;115;3;-;-;10;2;2;2;5;2176
"43 Rio Grande do Sul";1015;934;48;140;1;54;28;8;-;3;8;-;-;-;-;11;15;3;10;4;30;10;2;9;-;-;-;13;11;-;38;12;2;-;1;4;1;21;-;85;2;-;2;5;2;22;2;3;2559
"50 Mato Grosso do Sul";29;516;19;82;5;31;20;19;-;3;-;-;-;-;-;-;-;-;1;-;5;6;-;-;-;-;-;-;2;-;-;6;-;-;-;2;1;1;-;13;2;-;-;19;7;8;3;1;801
"51 Mato Grosso";203;439;60;75;7;18;25;-;8;3;-;-;-;-;-;-;-;-;-;-;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;31;1;-;-;-;-;-;1;-;877
"52 Goi�s";352;936;90;25;4;76;41;1;-;-;-;-;-;-;-;1;-;-;-;-;28;26;3;3;-;-;-;-;1;1;-;1;-;-;-;-;3;-;-;95;7;-;-;22;6;1;1;-;1724
"53 Distrito Federal";214;99;-;8;-;13;-;-;-;1;-;-;-;-;-;1;3;-;-;2;13;9;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;-;-;-;-;-;-;-;3;2;-;5;376
"Total";15606;24106;2176;2610;173;2889;955;120;105;218;25;35;62;2;10;207;47;7;213;18;602;403;33;80;6;2;2;371;146;60;154;59;16;2;32;67;61;33;1;1140;93;3;12;127;39;83;30;52;53293
