"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"70 ESF - EQUIPE DE SAUDE DA FAMILIA";"71 ESB - EQUIPE DE SAUDE BUCAL";"72 ENASF-AB - EQ NUCLEO AMPLIADO SAUDE DA FAMILIA AT. PRIMARIA";"73 ECR - EQUIPE DOS CONSULTORIOS NA RUA";"74 EABP - EQUIPE DE ATENCAO PRIMARIA PRISIONAL";"75 EMAESM - EQ  MULTIPROF  ATENCAO ESPECIALIZADA SAUDE MENTAL";"76 EAP - EQUIPE DE ATENCAO PRIMARIA";"Total"
"32 Esp�rito Santo";10;9;-;10;-;2;2;5;-;-;-;-;-;-;6;6;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1025;704;40;8;45;19;173;2066
"33 Rio de Janeiro";51;9;6;36;1;2;1;2;-;-;6;-;-;3;80;48;-;-;7;1;10;1;1;1;-;-;-;-;-;7;2;-;-;-;-;-;3386;1640;250;34;68;31;270;5954
"35 S�o Paulo";54;11;1;93;13;15;8;4;3;-;38;7;2;12;249;114;-;-;2;-;2;-;-;2;1;3;5;6;5;14;1;-;-;2;1;-;6724;4432;601;66;119;46;2538;15194
"41 Paran�";24;4;1;13;1;7;3;2;-;-;-;-;-;-;40;22;-;-;-;-;-;-;-;1;1;-;2;-;3;12;-;-;-;-;-;-;2721;1953;276;10;20;94;437;5647
"42 Santa Catarina";5;2;1;7;-;1;1;4;-;-;1;-;-;-;25;14;-;-;-;-;-;-;-;-;-;-;-;-;-;9;74;-;-;-;1;-;2222;1426;585;5;39;35;178;4635
"43 Rio Grande do Sul";1;1;-;25;-;4;1;9;1;-;-;1;-;-;44;14;-;-;-;-;1;-;-;-;-;-;2;-;-;11;-;-;1;-;-;-;2520;1586;151;12;68;92;604;5149
"50 Mato Grosso do Sul";1;-;-;8;-;1;-;23;-;-;-;-;-;-;11;11;-;-;-;-;-;-;-;-;-;-;-;-;-;3;1;-;-;-;-;-;753;650;98;4;69;9;24;1666
"51 Mato Grosso";-;-;-;3;-;-;-;15;-;-;-;-;-;-;6;5;-;-;-;-;-;-;-;-;-;-;-;-;1;2;1;-;-;-;-;-;940;677;71;3;16;2;34;1776
"52 Goi�s";-;-;-;4;-;10;-;2;-;-;1;-;-;-;45;55;-;-;-;-;-;-;-;-;-;-;-;-;-;33;-;-;-;-;-;-;1723;1343;153;12;76;63;139;3659
"53 Distrito Federal";2;-;-;-;-;2;-;-;-;-;-;-;-;-;17;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;620;301;46;5;27;8;-;1037
"Total";216;60;12;308;25;102;19;283;5;1;50;8;2;15;996;801;1;1;9;1;14;1;1;4;3;6;9;6;12;338;86;3;1;4;2;2;51805;36800;5435;253;962;693;5537;104892
