"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"70 ESF - EQUIPE DE SAUDE DA FAMILIA";"71 ESB - EQUIPE DE SAUDE BUCAL";"72 ENASF-AB - EQ NUCLEO AMPLIADO SAUDE DA FAMILIA AT. PRIMARIA";"73 ECR - EQUIPE DOS CONSULTORIOS NA RUA";"74 EABP - EQUIPE DE ATENCAO PRIMARIA PRISIONAL";"75 EMAESM - EQ  MULTIPROF  ATENCAO ESPECIALIZADA SAUDE MENTAL";"76 EAP - EQUIPE DE ATENCAO PRIMARIA";"Total"
"32 Esp�rito Santo";10;9;-;9;-;2;1;5;-;-;-;-;-;-;5;6;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1011;743;98;9;46;22;186;2164
"33 Rio de Janeiro";48;9;6;32;1;2;1;2;-;-;6;-;-;3;83;48;-;-;7;1;10;1;1;1;-;-;-;-;-;8;2;-;-;-;-;-;3408;1743;339;38;71;33;312;6216
"35 S�o Paulo";54;11;1;88;13;13;7;5;3;-;38;6;2;11;255;118;-;-;2;-;1;-;-;2;1;3;5;6;5;17;1;-;-;1;-;-;6832;4662;968;72;121;51;2769;16144
"41 Paran�";23;4;1;13;1;5;2;4;-;-;-;-;-;-;39;22;-;-;-;-;-;-;-;1;1;-;1;-;3;12;-;-;-;-;-;-;2795;2144;400;9;26;93;503;6102
"42 Santa Catarina";5;2;1;7;-;1;1;4;-;-;1;-;-;-;25;14;-;-;-;-;-;-;-;-;-;-;-;-;-;10;80;-;-;-;1;-;2287;1515;664;5;38;24;190;4875
"43 Rio Grande do Sul";1;1;-;25;-;3;-;9;1;-;-;1;-;-;43;13;-;-;-;-;1;-;-;-;-;-;2;-;-;11;-;-;1;-;-;-;2557;1722;459;11;75;97;698;5731
"50 Mato Grosso do Sul";1;-;-;8;-;1;-;24;-;-;-;-;-;-;11;8;-;-;-;-;-;-;-;-;-;-;-;-;-;3;1;-;-;-;-;-;760;677;101;4;72;10;89;1770
"51 Mato Grosso";-;-;-;4;-;-;-;16;-;-;-;-;-;-;10;6;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;952;700;170;3;19;2;46;1931
"52 Goi�s";-;-;-;3;-;10;-;2;-;-;1;-;-;-;49;57;-;-;-;-;-;-;-;-;-;-;-;-;-;34;-;-;-;-;-;-;1740;1373;214;14;79;64;156;3796
"53 Distrito Federal";2;-;-;-;-;-;-;-;-;-;-;-;-;-;18;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;627;312;56;5;27;8;-;1065
"Total";204;60;12;291;24;91;15;287;4;1;50;7;2;14;1029;844;1;1;9;1;13;1;1;4;3;6;8;6;11;378;91;2;1;3;1;2;52734;38694;7715;277;1041;692;6245;110876
