"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"70 ESF - EQUIPE DE SAUDE DA FAMILIA";"71 ESB - EQUIPE DE SAUDE BUCAL";"72 ENASF-AB - EQ NUCLEO AMPLIADO SAUDE DA FAMILIA AT. PRIMARIA";"73 ECR - EQUIPE DOS CONSULTORIOS NA RUA";"74 EABP - EQUIPE DE ATENCAO PRIMARIA PRISIONAL";"75 EMAESM - EQ  MULTIPROF  ATENCAO ESPECIALIZADA SAUDE MENTAL";"76 EAP - EQUIPE DE ATENCAO PRIMARIA";"Total"
"32 Esp�rito Santo";10;9;-;10;-;2;2;5;-;-;-;-;-;-;6;6;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1031;713;40;8;46;19;176;2085
"33 Rio de Janeiro";50;9;6;32;1;2;1;2;-;-;6;-;-;3;81;47;-;-;7;1;10;1;1;1;-;-;-;-;-;7;2;-;-;-;-;-;3393;1679;253;34;68;32;291;6020
"35 S�o Paulo";54;11;1;93;13;14;8;4;3;-;38;7;2;12;248;114;-;-;2;-;1;-;-;2;1;3;5;6;5;15;1;-;-;2;1;-;6750;4486;643;66;119;49;2577;15356
"41 Paran�";24;4;1;13;1;7;3;3;-;-;-;-;-;-;40;22;-;-;-;-;-;-;-;1;1;-;2;-;3;11;-;-;-;-;-;-;2756;2023;276;10;23;98;486;5808
"42 Santa Catarina";5;2;1;7;-;1;1;4;-;-;1;-;-;-;25;13;-;-;-;-;-;-;-;-;-;-;-;-;-;8;84;-;-;-;1;-;2234;1448;632;5;38;34;182;4726
"43 Rio Grande do Sul";1;1;-;25;-;4;1;9;1;-;-;1;-;-;44;14;-;-;-;-;1;-;-;-;-;-;2;-;-;11;-;-;1;-;-;-;2522;1639;150;12;71;97;633;5240
"50 Mato Grosso do Sul";1;-;-;8;-;1;-;25;-;-;-;-;-;-;11;11;-;-;-;-;-;-;-;-;-;-;-;-;-;3;1;-;-;-;-;-;760;656;98;4;71;9;25;1684
"51 Mato Grosso";-;-;-;4;-;-;-;17;-;-;-;-;-;-;5;4;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;947;690;67;3;17;2;38;1797
"52 Goi�s";-;-;-;3;-;10;-;2;-;-;1;-;-;-;46;56;-;-;-;-;-;-;-;-;-;-;-;-;-;33;-;-;-;-;-;-;1728;1347;149;12;77;64;145;3673
"53 Distrito Federal";2;-;-;-;-;2;-;-;-;-;-;-;-;-;17;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;621;302;48;5;27;8;-;1041
"Total";215;60;12;297;25;98;19;285;4;1;50;8;2;15;1000;812;1;1;9;1;13;1;1;4;3;6;9;6;12;349;96;3;1;4;2;2;51942;37281;5512;253;984;718;5721;105838
