"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"70 ESF - EQUIPE DE SAUDE DA FAMILIA";"71 ESB - EQUIPE DE SAUDE BUCAL";"72 ENASF-AB - EQ NUCLEO AMPLIADO SAUDE DA FAMILIA AT. PRIMARIA";"73 ECR - EQUIPE DOS CONSULTORIOS NA RUA";"74 EABP - EQUIPE DE ATENCAO PRIMARIA PRISIONAL";"75 EMAESM - EQ  MULTIPROF  ATENCAO ESPECIALIZADA SAUDE MENTAL";"76 EAP - EQUIPE DE ATENCAO PRIMARIA";"Total"
"32 Esp�rito Santo";10;9;-;10;-;2;2;5;-;-;-;-;-;-;-;5;5;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;959;687;32;7;25;17;198;1975
"33 Rio de Janeiro";56;10;6;36;1;2;2;2;-;-;-;7;-;-;3;80;48;-;-;10;1;10;1;1;1;-;-;-;-;-;6;-;-;-;-;-;-;3216;1551;233;28;27;28;244;5610
"35 S�o Paulo";62;13;1;94;13;15;8;5;3;-;-;41;7;2;13;235;110;-;-;2;-;2;-;-;2;1;3;5;6;5;16;1;-;-;2;1;-;6616;4251;596;64;115;40;2059;14409
"41 Paran�";25;4;1;13;1;7;3;3;-;-;-;-;-;-;-;37;20;-;-;-;-;-;-;-;1;1;-;2;-;3;9;-;-;-;-;-;-;2661;1882;279;10;20;86;430;5498
"42 Santa Catarina";5;2;1;7;-;1;1;4;-;-;-;1;-;-;-;24;11;-;-;-;-;-;-;-;-;-;-;-;-;1;5;-;-;-;-;1;-;2170;1385;463;5;34;25;189;4335
"43 Rio Grande do Sul";1;1;-;25;-;4;2;10;1;-;-;-;1;-;1;43;13;-;-;-;-;1;-;-;-;-;-;2;-;-;11;-;-;1;-;-;-;2453;1542;169;10;55;84;625;5055
"50 Mato Grosso do Sul";1;-;-;8;-;1;-;25;-;-;-;-;-;-;-;10;10;-;-;-;-;-;-;-;-;-;-;-;-;-;3;1;1;-;-;-;-;747;644;99;4;67;9;14;1644
"51 Mato Grosso";-;-;-;4;-;-;-;19;-;-;-;-;-;-;-;8;5;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;888;651;80;3;13;2;38;1714
"52 Goi�s";1;-;-;4;-;10;-;1;-;-;-;1;-;-;-;39;52;-;-;-;-;-;-;-;-;-;-;-;-;-;29;-;-;-;-;-;-;1675;1321;176;11;72;54;130;3576
"53 Distrito Federal";2;-;-;-;-;4;-;-;-;-;-;-;-;-;-;17;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;613;286;39;5;15;8;-;998
"Total";233;63;12;311;25;104;21;302;5;1;1;54;8;2;17;954;743;1;1;12;1;14;1;1;4;3;6;9;6;13;293;8;4;1;4;2;2;50754;35915;5403;229;832;611;5009;101995
